Quarter,Time,Tm,Detail,KAN,PIT
1.0,13:05,Chiefs,Chris Conley 15 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
,9:08,Chiefs,Travis Kelce 19 yard pass from Patrick Mahomes (Harrison Butker kick),14,0
,2:24,Chiefs,Kareem Hunt 5 yard pass from Patrick Mahomes (Harrison Butker kick),21,0
2.0,14:20,Steelers,Jesse James 26 yard pass from Ben Roethlisberger (Chris Boswell kick),21,7
,6:27,Steelers,JuJu Smith-Schuster 2 yard pass from Ben Roethlisberger (Chris Boswell kick failed),21,13
,0:18,Steelers,James Washington 14 yard pass from Ben Roethlisberger (James Conner pass from Ben Roethlisberger),21,21
3.0,12:42,Chiefs,Travis Kelce 25 yard pass from Patrick Mahomes (Harrison Butker kick),28,21
,7:12,Steelers,James Conner 1 yard rush (Chris Boswell kick),28,28
,3:15,Chiefs,Demarcus Robinson 3 yard pass from Patrick Mahomes (Harrison Butker kick),35,28
4.0,13:42,Chiefs,Tyreek Hill 29 yard pass from Patrick Mahomes (Harrison Butker kick),42,28
,12:02,Steelers,"Safety, Kareem Hunt tackled in end zone by Artie Burns",42,30
,1:59,Steelers,Ben Roethlisberger 3 yard rush (Chris Boswell kick),42,37
