Quarter,Time,Tm,Detail,CIN,CAR
1.0,12:46,Bengals,Peter Warrick 37 yard pass from Jon Kitna (Neil Rackers kick),7,0
,9:13,Panthers,Al Wallace defensive fumble recovery in end zone (Shayne Graham kick),7,7
,2:53,Panthers,"Safety,",7,9
2.0,13:47,Panthers,Steve Smith Sr. 61 yard punt return (Shayne Graham kick),7,16
,8:18,Bengals,Peter Warrick 3 yard pass from Jon Kitna (Neil Rackers kick),14,16
,0:45,Bengals,Neil Rackers 24 yard field goal,17,16
3.0,13:03,Panthers,Steve Smith Sr. 31 yard pass from Rodney Peete (Shayne Graham kick),17,23
,11:10,Bengals,Takeo Spikes 45 yard defensive fumble return (Neil Rackers kick),24,23
,5:37,Panthers,Muhsin Muhammad 2 yard pass from Rodney Peete (Shayne Graham kick),24,30
,4:24,Panthers,Steve Smith Sr. 87 yard punt return (Shayne Graham kick),24,37
,0:27,Bengals,Jon Kitna 12 yard rush (Neil Rackers kick),31,37
4.0,12:48,Panthers,Wesley Walls 2 yard pass from Rodney Peete (Shayne Graham kick),31,44
,6:13,Panthers,Dee Brown 6 yard rush (Nick Goings run),31,52
