Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jay Cutler,CHI,19,24,258,3,0,2,14,87,151.0,3,24,0,26,0,0,0,0,,0,0
Jeremy Langford,CHI,0,0,0,0,0,0,0,,,20,73,1,23,9,7,109,1,83,0,0
Ka'Deem Carey,CHI,0,0,0,0,0,0,0,,,14,56,0,9,0,0,0,0,,1,1
Zach Miller,CHI,0,0,0,0,0,0,0,,,0,0,0,,5,5,107,2,87,0,0
Alshon Jeffery,CHI,0,0,0,0,0,0,0,,,0,0,0,,4,3,23,0,10,0,0
Martellus Bennett,CHI,0,0,0,0,0,0,0,,,0,0,0,,3,3,18,0,8,0,0
Marquess Wilson,CHI,0,0,0,0,0,0,0,,,0,0,0,,3,1,1,0,1,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Nick Foles,STL,17,36,200,0,1,1,9,37,53.0,0,0,0,,0,0,0,0,,0,0
Johnny Hekker,STL,0,1,0,0,0,0,0,0,39.6,0,0,0,,0,0,0,0,,0,0
Todd Gurley,STL,0,0,0,0,0,0,0,,,12,45,1,9,3,3,44,0,31,0,0
Tre Mason,STL,0,0,0,0,0,0,0,,,6,31,0,11,1,1,16,0,16,1,1
Tavon Austin,STL,0,0,0,0,0,0,0,,,3,18,0,12,4,2,5,0,4,0,0
Brian Quick,STL,0,0,0,0,0,0,0,,,0,0,0,,7,1,37,0,37,0,0
Jared Cook,STL,0,0,0,0,0,0,0,,,0,0,0,,3,2,35,0,29,0,0
Wes Welker,STL,0,0,0,0,0,0,0,,,0,0,0,,6,3,32,0,14,0,0
Bradley Marquez,STL,0,0,0,0,0,0,0,,,0,0,0,,4,2,19,0,11,0,0
Kenny Britt,STL,0,0,0,0,0,0,0,,,0,0,0,,3,1,6,0,6,0,0
Lance Kendricks,STL,0,0,0,0,0,0,0,,,0,0,0,,3,1,4,0,4,0,0
Benny Cunningham,STL,0,0,0,0,0,0,0,,,0,0,0,,2,1,2,0,2,0,0
Cody Davis,STL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
