Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tyreek Hill,KAN,10,6,40,0,3,26,4.3,14,2.3,12.5,0,,0,0.0,0,68.7
Travis Kelce,KAN,7,5,25,1,2,11,2.2,14,2.8,5.0,0,,0,0.0,0,116.1
Darrel Williams,KAN,3,3,19,0,1,-1,-0.3,20,6.7,-0.3,0,,0,0.0,0,93.1
Blake Bell,KAN,3,3,35,0,1,13,4.3,22,7.3,4.3,0,,0,0.0,0,115.3
Byron Pringle,KAN,4,3,35,0,1,31,10.3,4,1.3,9.3,0,,0,0.0,0,101.0
Demarcus Robinson,KAN,2,2,33,1,1,32,16.0,1,0.5,16.0,0,,0,0.0,0,158.3
Noah Gray,KAN,1,1,6,0,,4,4.0,2,2.0,4.0,0,,0,0.0,0,91.7
Mecole Hardman,KAN,1,1,53,0,1,35,35.0,18,18.0,35.0,0,,0,0.0,0,118.7
Derrick Gore,KAN,1,1,8,0,0,-4,-4.0,12,12.0,-4.0,1,1.0,0,0.0,0,100.0
Josh Gordon,KAN,1,1,5,0,1,5,5.0,0,0.0,5.0,0,,0,0.0,0,87.5
Marcus Kemp,KAN,1,0,0,0,,0,,0,,16.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Ja'Marr Chase,CIN,12,11,266,3,6,113,10.3,153,13.9,12.2,2,5.5,0,0.0,0,158.3
Joe Mixon,CIN,8,7,40,0,0,-5,-0.7,45,6.4,-1.1,0,,1,12.5,0,87.5
C.J. Uzomah,CIN,6,4,32,0,2,12,3.0,20,5.0,3.8,0,,0,0.0,0,79.9
Tyler Boyd,CIN,6,4,36,1,2,26,6.5,10,2.5,5.7,0,,0,0.0,0,122.2
Tee Higgins,CIN,5,3,62,0,2,34,11.3,28,9.3,13.4,2,1.5,1,20.0,0,103.7
Samaje Perine,CIN,1,1,10,0,,2,2.0,8,8.0,2.0,0,,0,0.0,0,108.3
