Quarter,Time,Tm,Detail,CLE,DET
1.0,11:30,Browns,Zane Gonzalez 23 yard field goal,3,0
,8:39,Browns,Kenny Britt 19 yard pass from DeShone Kizer (Zane Gonzalez kick),10,0
,6:00,Lions,Matt Prater 46 yard field goal,10,3
2.0,10:25,Lions,Ameer Abdullah 8 yard rush (Matt Prater kick),10,10
,3:55,Lions,Nevin Lawson 44 yard fumble return (Matt Prater kick),10,17
3.0,11:01,Browns,Isaiah Crowell 6 yard rush (Zane Gonzalez kick),17,17
,2:23,Browns,DeShone Kizer 1 yard rush (Zane Gonzalez kick),24,17
,0:52,Lions,Theo Riddick 8 yard pass from Matthew Stafford (Matt Prater kick),24,24
4.0,10:46,Lions,Eric Ebron 29 yard pass from Matthew Stafford (Matt Prater kick),24,31
,4:28,Lions,Golden Tate 40 yard pass from Matthew Stafford (Matt Prater kick),24,38
