Quarter,Time,Tm,Detail,TEN,NYG
1,11:07,Giants,Matt Bryant 38 yard field goal,0,3
2,12:02,Titans,Derrick Mason 6 yard pass from Steve McNair (Joe Nedney kick),7,3
,1:14,Giants,Dan Campbell 1 yard pass from Kerry Collins (Matt Bryant kick),7,10
,0:23,Titans,Drew Bennett 26 yard pass from Steve McNair (Joe Nedney kick),14,10
3,14:03,Giants,Ron Dixon 24 yard pass from Kerry Collins (Matt Bryant kick),14,17
,8:44,Giants,Matt Bryant 36 yard field goal,14,20
4,14:15,Giants,Tiki Barber 1 yard rush (pass failed),14,26
,7:34,Titans,Eddie George 1 yard rush (Joe Nedney kick),21,26
,2:21,Giants,Matt Bryant 19 yard field goal,21,29
,0:09,Titans,Frank Wycheck 9 yard pass from Steve McNair (Steve McNair run),29,29
OT,10:00,Titans,Joe Nedney 38 yard field goal,32,29
