Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
D.J. Moore,CAR,10,4,103,0,2,75,18.8,28,7.0,15.1,0,,2,20.0,1,38.7
Ameer Abdullah,CAR,6,2,20,0,1,7,3.5,13,6.5,1.0,0,,1,16.7,0,43.7
Brandon Zylstra,CAR,2,1,24,0,1,22,22.0,2,2.0,22.5,0,,0,0.0,0,93.7
Robbie Chosen,CAR,4,1,15,0,1,15,15.0,0,0.0,15.0,0,,0,0.0,1,3.1
Alex Erickson,CAR,1,1,13,0,,7,7.0,6,6.0,7.0,0,,0,0.0,0,118.7
Tommy Tremble,CAR,3,1,4,0,,2,2.0,2,2.0,10.0,0,,0,0.0,0,42.4
Christian McCaffrey,CAR,1,0,0,0,0,0,,0,,2.0,0,,0,0.0,0,39.6
Ian Thomas,CAR,3,0,0,0,,0,,0,,6.0,0,,1,33.3,1,0.0
Chuba Hubbard,CAR,1,0,0,0,,0,,0,,1.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jaylen Waddle,MIA,10,9,137,1,6,70,7.8,67,7.4,8.2,0,,0,0.0,0,152.1
Durham Smythe,MIA,5,5,32,0,1,7,1.4,25,5.0,1.4,0,,0,0.0,0,93.3
Albert Wilson,MIA,6,5,17,0,,-6,-1.2,23,4.6,-1.0,1,5.0,0,0.0,0,79.2
Mike Gesicki,MIA,3,3,17,0,1,11,3.7,6,2.0,3.7,0,,0,0.0,0,90.3
Myles Gaskin,MIA,2,2,3,0,1,1,0.5,2,1.0,0.5,0,,0,0.0,0,79.2
Isaiah Ford,MIA,2,1,11,0,1,5,5.0,6,6.0,10.0,0,,0,0.0,0,66.7
Preston Williams,MIA,1,1,4,0,1,-3,-3.0,7,7.0,-3.0,0,,0,0.0,0,83.3
Salvon Ahmed,MIA,1,1,9,0,0,-1,-1.0,10,10.0,-1.0,0,,0,0.0,0,104.2
Mack Hollins,MIA,1,0,0,0,,0,,0,,5.0,0,,0,0.0,0,39.6
