Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Mike Davis,ATL,6,5,42,0,3,8,1.6,34,6.8,2.7,0,,0,0.0,0,95.8
Kyle Pitts,ATL,6,5,61,0,3,36,7.2,25,5.0,10.3,0,,1,16.7,0,109.0
Russell Gage,ATL,6,4,64,0,2,47,11.8,17,4.3,11.5,0,,1,16.7,0,102.1
Cordarrelle Patterson,ATL,5,2,1,0,0,-1,-0.5,2,1.0,2.6,0,,0,0.0,0,47.9
Hayden Hurst,ATL,1,1,3,1,1,3,3.0,0,0.0,3.0,0,,0,0.0,0,118.7
Tajae Sharpe,ATL,2,1,7,0,,1,1.0,6,6.0,18.0,0,,0,0.0,0,58.3
Lee Smith,ATL,1,1,12,0,1,2,2.0,10,10.0,2.0,0,,0,0.0,0,116.7
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Robbie Chosen,CAR,12,7,84,1,5,74,10.6,10,1.4,12.4,0,,0,0.0,1,72.9
D.J. Moore,CAR,10,6,84,0,4,51,8.5,33,5.5,9.7,0,,1,10.0,0,87.1
Brandon Zylstra,CAR,5,4,45,0,2,16,4.0,29,7.3,8.0,0,,0,0.0,0,104.2
Ameer Abdullah,CAR,4,2,17,0,1,0,0.0,17,8.5,-0.3,0,,0,0.0,1,21.9
Tommy Tremble,CAR,2,2,23,0,1,11,5.5,12,6.0,5.5,0,,0,0.0,0,114.6
Ian Thomas,CAR,2,0,0,0,,0,,0,,5.0,0,,1,50.0,0,39.6
