Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
DaRon Bland,DAL,0,6,4,66.7%,59,14.8,9.8,0,98.6,13.8,45,14,0,0,0,0.0,0,11,0,0.0%
Jayron Kearse,DAL,0,6,4,66.7%,52,13.0,8.7,0,93.7,6.3,19,33,0,0,0,0.0,0,5,0,0.0%
Donovan Wilson,DAL,0,7,3,42.9%,39,13.0,5.6,0,61.0,6.1,20,19,1,0,0,0.0,0,8,1,11.1%
Anthony Barr,DAL,0,2,2,100.0%,9,4.5,4.5,0,85.4,3.0,6,3,0,0,0,0.0,0,5,1,16.7%
Leighton Vander Esch,DAL,0,3,2,66.7%,8,4.0,2.7,0,70.1,0.7,3,5,0,0,0,0.0,0,11,1,8.3%
Neville Gallimore,DAL,0,1,1,100.0%,30,30.0,30.0,0,118.7,26.0,26,4,0,0,0,0.0,0,1,0,0.0%
Malik Hooker,DAL,0,1,1,100.0%,10,10.0,10.0,0,108.3,10.0,10,0,0,0,0,0.0,0,8,0,0.0%
Carlos Watkins,DAL,0,1,1,100.0%,0,0.0,0.0,0,79.2,-5.0,-5,5,0,0,0,0.0,0,1,0,0.0%
Israel Mukuamu,DAL,0,2,1,50.0%,7,7.0,3.5,0,58.3,7.5,7,0,0,0,0,0.0,0,1,0,0.0%
DeMarcus Lawrence,DAL,0,0,0,,,,,,,,,,0,0,1,1.0,2,6,0,0.0%
Osa Odighizuwa,DAL,0,0,0,,,,,,,,,,0,0,0,1.0,1,5,0,0.0%
Micah Parsons,DAL,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Jimmie Ward,SFO,0,10,7,70.0%,51,7.3,5.1,0,81.7,4.8,22,29,1,0,0,0.0,0,7,1,12.5%
Charvarius Ward,SFO,0,6,5,83.3%,43,8.6,7.2,0,96.5,12.7,38,5,0,0,0,0.0,0,6,0,0.0%
Fred Warner,SFO,1,7,4,57.1%,27,6.8,3.9,0,26.2,10.1,2,25,0,0,0,0.0,0,9,0,0.0%
Dre Greenlaw,SFO,0,6,3,50.0%,12,4.0,2.0,1,95.8,1.3,1,11,1,0,0,0.0,0,6,1,14.3%
Deommodore Lenoir,SFO,1,5,2,40.0%,52,26.0,10.4,0,39.2,13.2,49,3,0,0,0,0.0,0,5,0,0.0%
Talanoa Hufanga,SFO,0,2,1,50.0%,18,18.0,9.0,0,81.2,15.5,8,10,2,0,0,0.0,0,5,0,0.0%
Azeez Al-Shaair,SFO,0,1,1,100.0%,3,3.0,3.0,0,79.2,3.0,3,0,0,0,0,0.0,0,7,0,0.0%
Samson Ebukam,SFO,0,0,0,,,,,,,,,,0,0,1,1.0,2,2,0,0.0%
Nick Bosa,SFO,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%
Charles Omenihu,SFO,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
