Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Lamar Jackson,BAL,11,39,0,1,29,2.6,10,0.9,0,
Keaton Mitchell,BAL,9,64,0,4,23,2.6,41,4.6,3,3.0
Gus Edwards,BAL,8,26,0,2,14,1.8,12,1.5,0,
Justice Hill,BAL,5,31,0,2,21,4.2,10,2.0,1,5.0
Devin Duvernay,BAL,1,0,0,,0,0.0,0,0.0,0,
Zay Flowers,BAL,1,37,1,1,1,1.0,36,36.0,1,1.0
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Austin Ekeler,LAC,10,32,0,3,15,1.5,17,1.7,2,5.0
Justin Herbert,LAC,4,47,0,1,43,10.8,4,1.0,0,
Joshua Kelley,LAC,3,8,0,1,5,1.7,3,1.0,0,
Derius Davis,LAC,2,-1,0,,-1,-0.5,0,0.0,0,
