Quarter,Time,Tm,Detail,SFO,NWE
1.0,10:55,49ers,Randy Moss 24 yard pass from Colin Kaepernick (David Akers kick),7,0
2.0,8:31,Patriots,Stephen Gostkowski 32 yard field goal,7,3
,6:59,49ers,Delanie Walker 34 yard pass from Colin Kaepernick (David Akers kick),14,3
,0:00,49ers,David Akers 20 yard field goal,17,3
3.0,10:38,49ers,Frank Gore 9 yard offensive fumble return (David Akers kick),24,3
,10:21,49ers,Michael Crabtree 27 yard pass from Colin Kaepernick (David Akers kick),31,3
,5:59,Patriots,Danny Woodhead 6 yard rush (Stephen Gostkowski kick),31,10
4.0,14:58,Patriots,Tom Brady 1 yard rush (Stephen Gostkowski kick),31,17
,12:13,Patriots,Aaron Hernandez 5 yard pass from Tom Brady (Stephen Gostkowski kick),31,24
,6:43,Patriots,Danny Woodhead 1 yard rush (Stephen Gostkowski kick),31,31
,6:25,49ers,Michael Crabtree 38 yard pass from Colin Kaepernick (David Akers kick),38,31
,1:56,49ers,David Akers 28 yard field goal,41,31
,0:38,Patriots,Stephen Gostkowski 41 yard field goal,41,34
