Quarter,Time,Tm,Detail,HOU,NYJ
1.0,9:23,Texans,Ka'imi Fairbairn 41 yard field goal,3,0
,2:01,Jets,Jason Myers 26 yard field goal,3,3
2.0,12:51,Texans,Ka'imi Fairbairn 32 yard field goal,6,3
,8:14,Texans,DeAndre Hopkins 45 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),13,3
,4:35,Texans,Ka'imi Fairbairn 53 yard field goal,16,3
,0:30,Jets,Robbie Chosen 5 yard pass from Sam Darnold (Jason Myers kick failed),16,9
3.0,8:39,Jets,Andre Roberts 13 yard pass from Sam Darnold (Jason Myers kick failed),16,15
4.0,12:33,Texans,Ka'imi Fairbairn 49 yard field goal,19,15
,5:00,Jets,Elijah McGuire 2 yard rush (Jason Myers kick),19,22
,2:15,Texans,DeAndre Hopkins 14 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),26,22
,0:54,Texans,Ka'imi Fairbairn 40 yard field goal,29,22
