Quarter,Time,Down,ToGo,Location,HOU,NYJ,Detail,EPB,EPA
2,4:01,2,4,NYJ 23,16,3,Elijah McGuire up the middle for 1 yard (tackle by Whitney Mercilus and D.J. Reader),0.350,-0.370
2,3:18,3,3,NYJ 24,16,3,Sam Darnold right end for 10 yards (tackle by Justin Reid),-0.370,1.200
2,2:36,1,10,NYJ 34,16,3,Sam Darnold pass complete deep left to Chris Herndon for 16 yards (tackle by Justin Reid),1.200,2.260
2,2:00,1,10,NYJ 50,16,3,Sam Darnold pass complete short right to Elijah McGuire for 4 yards (tackle by Dylan Cole),2.260,2.250
2,1:54,2,6,HOU 46,16,3,Sam Darnold pass complete short right to Chris Herndon for 12 yards (tackle by Whitney Mercilus),2.250,3.310
2,1:31,1,10,HOU 34,16,3,"Penalty on Brandon Shell: False Start, 5 yards (no play)",3.310,2.980
2,1:15,1,15,HOU 39,16,3,Sam Darnold pass complete short middle to Jordan Leggett for 8 yards (tackle by Zach Cunningham),2.980,3.180
2,0:50,2,7,HOU 31,16,3,Sam Darnold pass complete deep middle to Robby Anderson for 26 yards (tackle by Andre Hal and Tyrann Mathieu),3.180,6.060
2,0:35,,,,,,Timeout #3 by New York Jets,,
2,0:35,1,5,HOU 5,16,9,"Sam Darnold pass complete short middle to Robby Anderson for 5 yards, touchdown",6.060,7.000
2,0:30,,,HOU 15,16,9,Jason Myers kicks extra point no good wide right,0.000,-1.000
2,0:30,,,NYJ 35,16,9,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,0:30,1,10,HOU 25,16,9,Deshaun Watson pass incomplete deep left,0.610,0.060
2,0:24,2,10,HOU 25,16,9,Deshaun Watson sacked by Henry Anderson for -9 yards,0.060,-2.140
Quarter,Time,Down,ToGo,Location,HOU,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,16,9,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,HOU 25,16,9,Alfred Blue up the middle for 5 yards (tackle by Avery Williamson),0.610,0.740
3,14:27,2,5,HOU 30,16,9,Deshaun Watson sacked by Jordan Jenkins for -6 yards,0.740,-0.760
3,13:41,,,,,,Timeout #1 by Houston Texans,,
3,13:41,3,11,HOU 24,16,9,Deshaun Watson sacked by Henry Anderson for -4 yards,-0.760,-2.030
3,13:02,4,15,HOU 20,16,9,"Trevor Daniel punts 50 yards, returned by Andre Roberts for 10 yards (tackle by Brian Peters)",-2.030,-1.600
3,12:49,1,10,NYJ 40,16,9,Trenton Cannon up the middle for no gain (tackle by J.J. Watt),1.600,1.050
3,12:13,2,10,NYJ 40,16,9,Sam Darnold pass incomplete short left intended for Elijah McGuire,1.050,0.370
3,12:04,3,10,NYJ 40,16,9,Sam Darnold pass complete deep left to Robby Anderson for 20 yards (tackle by Shareece Wright),0.370,2.920
3,11:30,1,10,HOU 40,16,9,Trenton Cannon left tackle for 8 yards (tackle by Kareem Jackson and Zach Cunningham),2.920,3.450
3,10:48,2,2,HOU 32,16,9,Elijah McGuire right guard for 14 yards (tackle by Justin Reid),3.450,4.370
3,10:05,1,10,HOU 18,16,9,Elijah McGuire up the middle for 4 yards (tackle by D.J. Reader and Benardrick McKinney),4.370,4.430
3,9:27,2,6,HOU 14,16,9,Elijah McGuire up the middle for 1 yard (tackle by Angelo Blackson),4.430,3.820
3,8:44,3,5,HOU 13,16,15,"Sam Darnold pass complete short left to Andre Roberts for 13 yards, touchdown",3.820,7.000
3,8:39,,,HOU 15,16,15,Jason Myers kicks extra point no good wide left,0.000,-1.000
3,8:39,,,NYJ 35,16,15,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,8:39,1,10,HOU 25,16,15,Deshaun Watson left guard for -1 yards (tackle by Buster Skrine),0.610,-0.070
3,8:05,2,11,HOU 24,16,15,Deshaun Watson sacked by Brandon Copeland for -9 yards,-0.070,-2.350
3,7:19,3,20,HOU 15,16,15,Deshaun Watson pass complete short right to Demaryius Thomas for 10 yards (tackle by Jamal Adams),-2.350,-1.700
3,6:45,4,10,HOU 25,16,15,"Trevor Daniel punts 51 yards, returned by Andre Roberts for 12 yards (tackle by Gregory Howell and A.J. Moore)",-1.700,-1.330
3,6:34,1,10,NYJ 36,16,15,Trenton Cannon up the middle for 2 yards (tackle by D.J. Reader and Jadeveon Clowney),1.330,1.060
3,5:53,2,8,NYJ 38,16,15,Sam Darnold pass complete short left to Jermaine Kearse for 5 yards (tackle by Kareem Jackson),1.060,1.030
3,5:30,3,3,NYJ 43,16,15,Sam Darnold pass incomplete short left intended for Trenton Cannon,1.030,-0.520
3,5:27,4,3,NYJ 43,16,15,"Penalty on Eric Tomlinson: False Start, 5 yards (no play)",-0.520,-0.850
3,5:27,4,8,NYJ 38,16,15,"Lac Edwards punts 49 yards, returned by DeAndre Carter for 4 yards (tackle by Trenton Cannon)",-0.850,0.060
3,5:19,1,10,HOU 17,16,15,Deshaun Watson left end for 4 yards (tackle by Neville Hewitt),-0.060,0.080
3,4:49,2,6,HOU 21,16,15,Deshaun Watson pass complete short right to Demaryius Thomas for no gain (tackle by Frankie Luvu and Jamal Adams),0.080,-0.750
3,4:05,3,6,HOU 21,16,15,Deshaun Watson pass complete short left to Ryan Griffin for -1 yards (tackle by Kevin Pierre-Louis),-0.750,-2.030
3,3:30,4,7,HOU 20,16,15,Trevor Daniel punts 36 yards out of bounds,-2.030,-1.860
3,3:24,1,10,NYJ 44,16,15,"Penalty on Jermaine Kearse: False Start, 5 yards (no play)",1.860,1.530
3,3:24,1,15,NYJ 39,16,15,Sam Darnold right end for 1 yard (tackle by Johnathan Joseph),1.530,0.780
3,2:40,2,14,NYJ 40,16,15,Elijah McGuire left end for -2 yards (tackle by Benardrick McKinney),0.780,-0.160
3,1:58,3,16,NYJ 38,16,15,Sam Darnold pass complete short right to Andre Roberts for no gain (tackle by Christian Covington). Penalty on Brent Qvale: Offensive Holding (Declined),-0.160,-0.850
3,1:35,4,16,NYJ 38,16,15,"Lac Edwards punts 50 yards, fair catch by DeAndre Carter at HOU-12",-0.850,0.350
3,1:28,1,10,HOU 12,16,15,Alfred Blue right guard for 1 yard (tackle by Neville Hewitt),-0.350,-0.700
3,0:56,2,9,HOU 13,16,15,Deshaun Watson pass complete short left to DeAndre Carter for 50 yards (tackle by Jamal Adams),-0.700,3.120
3,0:26,1,10,NYJ 37,16,15,Alfred Blue left guard for no gain (tackle by Leonard Williams),3.120,2.570
Quarter,Time,Down,ToGo,Location,HOU,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,NYJ 37,16,15,Deshaun Watson pass complete short left to DeAndre Hopkins for 13 yards (tackle by Morris Claiborne),2.570,3.970
4,14:34,1,10,NYJ 24,16,15,Deshaun Watson pass complete short left to Demaryius Thomas for -1 yards (tackle by Frankie Luvu),3.970,3.300
4,14:00,2,11,NYJ 25,16,15,Deshaun Watson pass complete short left to DeAndre Hopkins for 8 yards (tackle by Rontez Miles),3.300,3.750
4,13:18,3,3,NYJ 17,16,15,Deshaun Watson sacked by Jamal Adams for -14 yards,3.750,1.320
4,12:37,4,17,NYJ 31,19,15,Ka'imi Fairbairn 49 yard field goal good,1.320,3.000
4,12:33,,,HOU 35,19,15,"Ka'imi Fairbairn kicks off 68 yards, returned by Andre Roberts for no gain (tackle by Joe Webb)",0.000,0.740
4,12:27,1,10,NYJ 27,19,15,Sam Darnold pass complete short right to Elijah McGuire for 9 yards (tackle by Johnathan Joseph),0.740,1.410
4,11:50,2,1,NYJ 36,19,15,Elijah McGuire right tackle for no gain (tackle by Benardrick McKinney),1.410,0.700
4,11:15,3,1,NYJ 36,19,15,Sam Darnold up the middle for 3 yards (tackle by Angelo Blackson),0.700,1.530
4,10:41,1,10,NYJ 39,19,15,Elijah McGuire right tackle for 2 yards (tackle by J.J. Watt and Benardrick McKinney),1.530,1.260
4,10:00,2,8,NYJ 41,19,15,Sam Darnold pass incomplete short right,1.260,0.560
4,9:53,3,8,NYJ 41,19,15,Sam Darnold pass complete deep right to Chris Herndon for 25 yards (tackle by Dylan Cole),0.560,3.310
4,9:18,1,10,HOU 34,19,15,Sam Darnold pass incomplete deep left intended for Robby Anderson (defended by Benardrick McKinney),3.310,2.770
4,9:12,2,10,HOU 34,19,15,"Penalty on NYJ: False Start, 5 yards (no play)",2.770,2.090
4,9:12,2,15,HOU 39,19,15,Sam Darnold pass complete short middle to Robby Anderson for 14 yards (tackle by Benardrick McKinney and Tyrann Mathieu),2.090,3.270
4,8:23,,,,,,Timeout #1 by New York Jets,,
4,8:23,3,1,HOU 25,19,15,Trenton Cannon up the middle for no gain (tackle by D.J. Reader),3.270,1.950
4,7:47,,,,,,Timeout #2 by Houston Texans,,
4,7:47,4,1,HOU 25,19,15,Sam Darnold pass complete short right to Robby Anderson for 6 yards (tackle by Johnathan Joseph),1.950,4.310
4,7:06,1,10,HOU 19,19,15,Trenton Cannon left guard for no gain (tackle by Zach Cunningham),4.310,3.750
4,6:22,2,10,HOU 19,19,15,Sam Darnold pass incomplete short left intended for Chris Herndon (defended by Kareem Jackson),3.750,3.030
4,6:18,3,10,HOU 19,19,15,"Sam Darnold left end for 14 yards (tackle by Aaron Colvin). Penalty on Aaron Colvin: Defensive Holding, 3 yards",3.030,6.740
4,5:51,1,2,HOU 2,19,15,Sam Darnold left tackle for no gain (tackle by Justin Reid),6.740,5.720
4,5:09,2,2,HOU 2,19,21,"Elijah McGuire up the middle for 2 yards, touchdown. Penalty on Benardrick McKinney: Unsportsmanlike Conduct, 15 yards",5.720,7.000
4,5:00,,,HOU 15,19,22,Jason Myers kicks extra point good,0.000,0.000
4,5:00,,,NYJ 50,19,22,"Jason Myers kicks off 50 yards, touchback.",0.000,0.610
4,5:00,1,10,HOU 25,19,22,Deshaun Watson pass complete short left to DeAndre Hopkins for 20 yards (tackle by Rontez Miles),0.610,1.930
4,4:22,1,10,HOU 45,19,22,Deshaun Watson pass complete short right to Alfred Blue for 6 yards (tackle by Trumaine Johnson),1.930,2.190
4,3:54,2,4,NYJ 49,19,22,Deshaun Watson pass incomplete short right intended for Demaryius Thomas,2.190,1.490
4,3:49,3,4,NYJ 49,19,22,"Deshaun Watson pass incomplete deep left intended for DeAndre Hopkins. Penalty on Morris Claiborne: Defensive Holding, 5 yards (no play)",1.490,2.650
4,3:43,1,10,NYJ 44,19,22,Deshaun Watson pass complete deep right to Demaryius Thomas for 20 yards (tackle by Buster Skrine),2.650,3.970
4,2:59,1,10,NYJ 24,19,22,Deshaun Watson pass complete short right to Demaryius Thomas for 3 yards (tackle by Buster Skrine),3.970,3.840
4,2:54,2,7,NYJ 21,19,22,Deshaun Watson pass complete short right to DeAndre Hopkins for 7 yards (tackle by Trumaine Johnson),3.840,4.650
4,2:20,1,10,NYJ 14,25,22,"Deshaun Watson pass complete short left to DeAndre Hopkins for 14 yards, touchdown",4.650,7.000
4,2:15,,,NYJ 15,26,22,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,2:15,,,HOU 35,26,22,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
4,2:15,1,10,NYJ 25,26,22,Sam Darnold pass incomplete deep middle intended for Robby Anderson (defended by Johnathan Joseph),0.610,0.060
4,2:08,2,10,NYJ 25,26,22,Sam Darnold pass complete short right to Andre Roberts for 3 yards,0.060,-0.230
4,2:04,3,7,NYJ 28,26,22,Sam Darnold sacked by J.J. Watt for -7 yards,-0.230,-1.960
4,1:59,4,14,NYJ 21,26,22,Sam Darnold pass incomplete short left intended for Robby Anderson (defended by Aaron Colvin),-1.960,-4.170
4,1:52,1,10,NYJ 21,26,22,Alfred Blue left tackle for -1 yards (tackle by Nathan Shepherd),4.170,3.490
4,1:47,,,,,,Timeout #2 by New York Jets,,
4,1:47,2,11,NYJ 22,26,22,Alfred Blue left guard for 1 yard (tackle by Steve McLendon),3.490,2.940
4,1:42,,,,,,Timeout #3 by New York Jets,,
4,1:42,3,10,NYJ 21,26,22,Alfred Blue right tackle for -1 yards (tackle by Steve McLendon),2.940,1.990
4,0:57,,,,,,Timeout #3 by Houston Texans,,
4,0:57,4,11,NYJ 22,29,22,Ka'imi Fairbairn 40 yard field goal good,1.990,3.000
4,0:54,,,HOU 35,29,22,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
4,0:54,1,10,NYJ 25,29,22,Sam Darnold pass incomplete deep right intended for Jermaine Kearse (defended by Benardrick McKinney),0.610,0.060
4,0:49,2,10,NYJ 25,29,22,Sam Darnold pass incomplete short middle,0.060,-0.620
4,0:43,3,10,NYJ 25,29,22,Sam Darnold sacked by Jadeveon Clowney for -8 yards,-0.620,-2.320
4,0:19,4,18,NYJ 17,29,22,Sam Darnold pass complete short right to Elijah McGuire for 16 yards (tackle by Johnathan Joseph),-2.320,-3.380
4,0:11,1,10,NYJ 33,29,22,Deshaun Watson kneels for -1 yards,3.380,2.700
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
