Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Zack Moss,IND,24,81,0,3,34,1.4,47,2.0,1,24.0
Deon Jackson,IND,13,55,0,2,25,1.9,30,2.3,0,
Matt Ryan,IND,3,0,0,0,0,0.0,0,0.0,0,
Michael Pittman Jr.,IND,2,30,0,2,24,12.0,6,3.0,0,
Ashton Dulin,IND,1,5,0,1,5,5.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Dalvin Cook,MIN,17,95,0,3,63,3.7,32,1.9,1,17.0
Kirk Cousins,MIN,2,0,0,0,-1,-0.5,1,0.5,0,
C.J. Ham,MIN,2,1,1,1,0,0.0,1,0.5,0,
Alexander Mattison,MIN,2,1,0,,0,0.0,1,0.5,0,
Jalen Reagor,MIN,1,-5,0,,-5,-5.0,0,0.0,0,
