Quarter,Time,Tm,Detail,PHI,GNB
1.0,12:58,Packers,Mason Crosby 27 yard field goal,0,3
,3:33,Packers,Davante Adams 6 yard pass from Aaron Rodgers (Mason Crosby kick),0,10
,2:00,Packers,Micah Hyde 75 yard punt return (Mason Crosby kick),0,17
2.0,13:08,Eagles,Cody Parkey 33 yard field goal,3,17
,10:39,Packers,Jordy Nelson 27 yard pass from Aaron Rodgers (Mason Crosby kick),3,24
,2:00,Packers,Eddie Lacy 1 yard rush (run failed),3,30
,0:00,Eagles,Cody Parkey 33 yard field goal,6,30
3.0,7:53,Packers,Mason Crosby 33 yard field goal,6,33
,5:56,Packers,Julius Peppers 52 yard interception return (Mason Crosby kick failed),6,39
,2:21,Eagles,Jordan Matthews 10 yard pass from Mark Sanchez (Cody Parkey kick),13,39
4.0,14:40,Packers,Eddie Lacy 32 yard pass from Aaron Rodgers (Mason Crosby kick),13,46
,10:39,Packers,Casey Hayward 49 yard defensive fumble return (Mason Crosby kick),13,53
,7:20,Eagles,Jeremy Maclin 20 yard pass from Mark Sanchez (Cody Parkey kick),20,53
