Quarter,Time,Tm,Detail,BUF,NYJ
1.0,11:51,Jets,Thomas Jones 2 yard rush (Jay Feely kick),0,7
,7:44,Bills,Rian Lindell 34 yard field goal,3,7
,3:44,Jets,Jerricho Cotchery 11 yard pass from Brett Favre (Jay Feely kick),3,14
2.0,6:44,Bills,J.P. Losman 8 yard rush (Rian Lindell kick),10,14
,2:05,Bills,Stevie Johnson 2 yard pass from J.P. Losman (Rian Lindell kick),17,14
,0:55,Jets,Leon Washington 47 yard rush (Jay Feely kick),17,21
3.0,3:35,Bills,Rian Lindell 48 yard field goal,20,21
4.0,13:17,Jets,Jay Feely 31 yard field goal,20,24
,5:30,Bills,Fred Jackson 11 yard rush (Rian Lindell kick),27,24
,1:54,Jets,Shaun Ellis 11 yard defensive fumble return (Jay Feely kick),27,31
