Quarter,Time,Tm,Detail,IND,TAM
1,9:52,Buccaneers,Keenan McCardell 74 yard pass from Brad Johnson (Martin Gramatica kick),0,7
,4:55,Buccaneers,Keenan McCardell 57 yard offensive fumble return (Martin Gramatica kick),0,14
2,10:16,Buccaneers,Reggie Barlow 3 yard pass from Brad Johnson (Martin Gramatica kick),0,21
3,13:05,Colts,Marvin Harrison 37 yard pass from Peyton Manning (Mike Vanderjagt kick),7,21
,1:14,Buccaneers,Keenan McCardell 15 yard pass from Brad Johnson (Martin Gramatica kick),7,28
4,12:01,Colts,Ricky Williams 1 yard rush (Mike Vanderjagt kick),14,28
,5:09,Buccaneers,Ronde Barber 29 yard interception return (Martin Gramatica kick),14,35
,3:37,Colts,James Mungro 3 yard rush (Mike Vanderjagt kick),21,35
,2:29,Colts,Marvin Harrison 28 yard pass from Peyton Manning (Mike Vanderjagt kick),28,35
,0:35,Colts,Ricky Williams 1 yard rush (Mike Vanderjagt kick),35,35
OT,3:47,Colts,Mike Vanderjagt 29 yard field goal,38,35
