Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tony Romo,DAL,25,36,261,2,1,1,7,35,97.1,0,0,0,,0,0,0,0,,0,0
DeMarco Murray,DAL,0,0,0,0,0,0,0,,,14,93,0,28,1,1,4,0,4,0,0
Felix Jones,DAL,0,0,0,0,0,0,0,,,18,92,1,22,1,1,13,0,13,0,0
Phillip Tanner,DAL,0,0,0,0,0,0,0,,,9,31,0,9,0,0,0,0,,0,0
Lance Dunbar,DAL,0,0,0,0,0,0,0,,,1,11,0,11,0,0,0,0,,0,0
Dez Bryant,DAL,0,0,0,0,0,0,0,,,0,0,0,,15,13,95,2,18,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,,,0,0,0,,7,6,88,0,35,0,0
Miles Austin,DAL,0,0,0,0,0,0,0,,,0,0,0,,5,2,31,0,19,0,0
John Phillips,DAL,0,0,0,0,0,0,0,,,0,0,0,,2,1,19,0,19,0,0
Lawrence Vickers,DAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,11,0,11,0,0
Kevin Ogletree,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joe Flacco,BAL,17,26,234,1,0,1,4,43,106.9,2,2,0,3,0,0,0,0,,0,0
Ray Rice,BAL,0,0,0,0,0,0,0,,,16,63,2,12,4,1,43,0,43,0,0
Bernard Pierce,BAL,0,0,0,0,0,0,0,,,4,21,0,16,1,1,6,0,6,0,0
Anquan Boldin,BAL,0,0,0,0,0,0,0,,,0,0,0,,6,5,98,0,31,0,0
Dennis Pitta,BAL,0,0,0,0,0,0,0,,,0,0,0,,5,4,33,0,9,0,0
Torrey Smith,BAL,0,0,0,0,0,0,0,,,0,0,0,,4,2,24,1,19,0,0
Jacoby Jones,BAL,0,0,0,0,0,0,0,,,0,0,0,,3,2,15,0,10,0,0
Ed Dickson,BAL,0,0,0,0,0,0,0,,,0,0,0,,2,1,8,0,8,0,0
Vonta Leach,BAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,7,0,7,0,0
