#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,NYJ 25,4,1:27,1,Fumble
2,1,12:07,NYJ 21,3,1:49,5,Punt
3,1,8:29,NYJ 24,3,2:16,9,Punt
4,1,4:49,NYJ 39,5,1:48,10,Punt
5,1,1:18,,1,0:12,50,Touchdown
6,2,12:43,NYJ 37,3,1:08,8,Punt
7,2,10:01,NYJ 17,5,1:54,18,Punt
8,2,6:31,NYJ 16,4,2:42,4,Punt
9,2,2:28,NYJ 42,1,0:04,-1,Fumble
10,2,1:11,NYJ 10,3,0:30,2,Punt
11,3,8:59,NYJ 25,4,2:36,7,Punt
12,3,4:58,NYJ 23,3,1:34,9,Punt
13,3,0:36,NYJ 16,3,1:28,9,Punt
14,4,11:53,NYJ 28,5,2:32,26,Punt
15,4,2:38,NYJ 25,7,1:12,1,Downs
16,4,0:24,NYJ 25,4,0:24,58,Field Goal
17,5,8:11,NYJ 39,6,2:02,46,Field Goal
