Quarter,Time,Tm,Detail,WAS,SEA
1.0,13:26,Commanders,Brian Robinson Jr. 51 yard pass from Sam Howell (Joey Slye kick failed),6,0
,8:43,Seahawks,Jason Myers 45 yard field goal,6,3
2.0,12:06,Commanders,Joey Slye 49 yard field goal,9,3
,9:12,Seahawks,Jason Myers 43 yard field goal,9,6
,1:47,Seahawks,Jason Myers 33 yard field goal,9,9
3.0,10:32,Commanders,Joey Slye 47 yard field goal,12,9
,9:43,Seahawks,Kenneth Walker III 64 yard pass from Geno Smith (Jason Myers kick),12,16
4.0,12:14,Seahawks,Jason Myers 45 yard field goal,12,19
,8:00,Commanders,Antonio Gibson 19 yard pass from Sam Howell (Joey Slye kick),19,19
,3:47,Seahawks,Tyler Lockett 5 yard pass from Geno Smith (Jason Myers kick),19,26
,0:52,Commanders,Dyami Brown 35 yard pass from Sam Howell (Joey Slye kick),26,26
,0:00,Seahawks,Jason Myers 43 yard field goal,26,29
