Quarter,Time,Tm,Detail,TAM,HOU
1.0,12:56,Buccaneers,Chase McLaughlin 35 yard field goal,3,0
,9:10,Texans,Nico Collins 14 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),3,7
,2:13,Buccaneers,Cade Otton 3 yard pass from Baker Mayfield (Chase McLaughlin kick),10,7
2.0,9:05,Buccaneers,Rachaad White 1 yard rush (Chase McLaughlin kick),17,7
,5:17,Texans,Ka'imi Fairbairn 50 yard field goal,17,10
3.0,12:38,Buccaneers,Chase McLaughlin 49 yard field goal,20,10
,12:20,Texans,Noah Brown 75 yard pass from C.J. Stroud (pass failed),20,16
,9:23,Buccaneers,Chase McLaughlin 55 yard field goal,23,16
,5:59,Texans,Tank Dell 29 yard pass from C.J. Stroud (pass failed),23,22
4.0,14:11,Texans,Dalton Schultz 9 yard pass from C.J. Stroud (C.J. Stroud run),23,30
,11:45,Buccaneers,Rachaad White 1 yard rush (Chase McLaughlin kick),30,30
,8:45,Texans,Dare Ogunbowale 29 yard field goal,30,33
,0:46,Buccaneers,Cade Otton 14 yard pass from Baker Mayfield (Chase McLaughlin kick),37,33
,0:06,Texans,Tank Dell 15 yard pass from C.J. Stroud (run failed),37,39
