#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,SFO 10,5,2:10,16,Punt
2,1,11:07,SFO 25,6,3:11,75,Touchdown
3,1,7:05,SFO 19,4,2:44,7,Punt
4,1,2:53,SFO 25,5,2:46,24,Punt
5,2,11:56,SFO 15,4,2:39,38,Punt
6,2,2:27,SFO 3,3,0:55,1,Punt
7,2,1:00,SFO 11,3,1:00,5,End of Half
8,3,13:47,SFO 43,2,1:06,7,Fumble
9,3,10:31,SFO 2,2,0:38,-2,Safety
10,3,3:46,SFO 43,4,2:08,10,Punt
11,3,0:29,DEN 41,4,1:19,8,Field Goal
12,4,12:28,SFO 13,4,2:14,31,Punt
13,4,4:10,SFO 25,5,2:04,23,Interception
14,4,1:42,SFO 15,2,0:37,4,Fumble
