Quarter,Time,Tm,Detail,DET,DAL
1.0,11:08,Lions,Jason Hanson 33 yard field goal,3,0
,5:13,Lions,Jason Hanson 25 yard field goal,6,0
,2:37,Lions,Roy Williams 20 yard pass from Jon Kitna (Jason Hanson kick),13,0
2.0,11:38,Cowboys,Marion Barber III 1 yard rush (Martin Gramatica kick),13,7
,2:48,Cowboys,Patrick Crayton 6 yard pass from Tony Romo (Martin Gramatica kick),13,14
,0:02,Lions,Roy Williams 15 yard pass from Jon Kitna (Jason Hanson kick),20,14
3.0,12:16,Cowboys,Terence Newman 56 yard punt return (Martin Gramatica kick),20,21
,6:06,Lions,Jason Hanson 26 yard field goal,23,21
,4:16,Lions,Mike Furrey 13 yard pass from Jon Kitna (Jason Hanson kick),30,21
,0:04,Cowboys,Martin Gramatica 39 yard field goal,30,24
4.0,8:09,Cowboys,Terrell Owens 56 yard pass from Tony Romo (Martin Gramatica kick),30,31
,4:24,Lions,Mike Williams 21 yard pass from Jon Kitna (pass failed),36,31
,2:58,Lions,Jason Hanson 23 yard field goal,39,31
