Quarter,Time,Tm,Detail,KAN,TEN
1.0,7:19,Titans,Chris Brown 1 yard rush (Gary Anderson kick),0,7
2.0,13:27,Titans,Drew Bennett 42 yard pass from Billy Volek (Gary Anderson kick),0,14
,12:28,Chiefs,Eddie Kennison 58 yard pass from Trent Green (Lawrence Tynes kick),7,14
,1:17,Chiefs,Johnnie Morton 30 yard pass from Trent Green (Lawrence Tynes kick),14,14
,0:09,Titans,Drew Bennett 22 yard pass from Billy Volek (Gary Anderson kick),14,21
3.0,10:26,Chiefs,Derrick Blaylock 1 yard rush (Lawrence Tynes kick),21,21
,7:22,Titans,Drew Bennett 7 yard pass from Billy Volek (Gary Anderson kick),21,28
,6:29,Chiefs,Larry Johnson 46 yard rush (Lawrence Tynes kick),28,28
4.0,4:49,Chiefs,Larry Johnson 41 yard rush (Lawrence Tynes kick),35,28
,2:26,Titans,Derrick Mason 4 yard pass from Billy Volek (Gary Anderson kick),35,35
,1:39,Titans,Gary Anderson 27 yard field goal,35,38
,0:32,Chiefs,Eddie Kennison 9 yard pass from Trent Green (Lawrence Tynes kick),42,38
,0:08,Chiefs,Kawika Mitchell 39 yard defensive fumble return (Lawrence Tynes kick),49,38
