Quarter,Time,Tm,Detail,CHI,GNB
1.0,6:13,Packers,Brandon Bostick 1 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,3:53,Packers,Andrew Quarless 4 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2.0,14:48,Packers,Jordy Nelson 73 yard pass from Aaron Rodgers (Mason Crosby kick),0,21
,12:09,Packers,Jordy Nelson 40 yard pass from Aaron Rodgers (Mason Crosby kick),0,28
,4:48,Packers,Eddie Lacy 56 yard pass from Aaron Rodgers (Mason Crosby kick),0,35
,0:14,Packers,Randall Cobb 18 yard pass from Aaron Rodgers (Mason Crosby kick),0,42
3.0,10:48,Packers,Mason Crosby 20 yard field goal,0,45
,7:44,Bears,Brandon Marshall 45 yard pass from Jay Cutler (Robbie Gould kick),7,45
,5:27,Packers,Mason Crosby 52 yard field goal,7,48
4.0,10:41,Packers,Casey Hayward 82 yard interception return (Mason Crosby kick),7,55
,10:27,Bears,Chris Williams 101 yard kickoff return (Robbie Gould kick),14,55
