Quarter,Time,Tm,Detail,WAS,STL
1.0,14:49,Redskins,Josh Wilson 30 yard defensive fumble return (Billy Cundiff kick),7,0
,9:05,Rams,Greg Zuerlein 39 yard field goal,7,3
,0:19,Redskins,Robert Griffin III 5 yard rush (Billy Cundiff kick),14,3
2.0,8:17,Rams,Greg Zuerlein 33 yard field goal,14,6
,6:19,Redskins,Leonard Hankerson 68 yard pass from Robert Griffin III (Billy Cundiff kick),21,6
,1:58,Rams,Danny Amendola 1 yard pass from Sam Bradford (Greg Zuerlein kick),21,13
,0:02,Rams,Greg Zuerlein 42 yard field goal,21,16
3.0,10:23,Rams,Brandon Gibson 34 yard pass from Sam Bradford (Greg Zuerlein kick),21,23
,5:27,Redskins,Robert Griffin III 7 yard rush (Billy Cundiff kick),28,23
4.0,14:55,Rams,Matthew Mulligan 1 yard pass from Sam Bradford (Daryl Richardson run),28,31
