Quarter,Time,Tm,Detail,MIN,NYJ
1.0,13:22,Vikings,Adam Thielen 34 yard pass from Kirk Cousins (Dan Bailey kick),7,0
,1:01,Jets,Chris Herndon 12 yard pass from Sam Darnold (Jason Myers kick),7,7
2.0,10:13,Vikings,Dan Bailey 26 yard field goal,10,7
3.0,8:15,Vikings,Latavius Murray 11 yard rush (Dan Bailey kick),17,7
,5:49,Vikings,Dan Bailey 22 yard field goal,20,7
,2:39,Jets,Jason Myers 55 yard field goal,20,10
4.0,13:38,Vikings,Latavius Murray 38 yard rush (Dan Bailey kick),27,10
,10:27,Jets,Sam Darnold 1 yard rush (Jason Myers kick),27,17
,5:16,Vikings,Aldrick Robinson 34 yard pass from Kirk Cousins (Dan Bailey kick),34,17
,3:22,Vikings,Dan Bailey 43 yard field goal,37,17
