Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
David Njoku,CLE,7,7,71,0,3,21,3.0,50,7.1,3.0,0,,0,0.0,0,108.9
Donovan Peoples-Jones,CLE,6,6,71,0,1,59,9.8,12,2.0,9.8,0,,0,0.0,0,116.0
Amari Cooper,CLE,4,3,74,0,2,65,21.7,9,3.0,21.0,0,,0,0.0,0,116.7
Harrison Bryant,CLE,2,2,15,0,1,10,5.0,5,2.5,5.0,0,,0,0.0,0,97.9
Nick Chubb,CLE,3,2,16,0,1,-2,-1.0,18,9.0,-2.7,1,2.0,0,0.0,0,79.9
David Bell,CLE,1,1,7,0,,5,5.0,2,2.0,5.0,0,,0,0.0,0,95.8
Kareem Hunt,CLE,2,1,4,0,0,-4,-4.0,8,8.0,-3.0,1,1.0,0,0.0,0,56.2
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Rashod Bateman,BAL,5,4,42,0,1,28,7.0,14,3.5,6.6,1,4.0,1,20.0,0,101.7
Devin Duvernay,BAL,3,2,42,0,2,31,15.5,11,5.5,8.0,0,,0,0.0,0,109.7
Patrick Ricard,BAL,2,2,20,0,1,-2,-1.0,22,11.0,-1.0,0,,0,0.0,0,108.3
Isaiah Likely,BAL,1,1,16,0,1,10,10.0,6,6.0,10.0,0,,0,0.0,0,118.7
Mark Andrews,BAL,2,0,0,0,0,0,,0,,10.5,0,,0,0.0,0,39.6
Kenyan Drake,BAL,1,0,0,0,,0,,0,,-5.0,0,,0,0.0,0,39.6
Gus Edwards,BAL,1,0,0,0,0,0,,0,,2.0,0,,0,0.0,0,39.6
Josh Oliver,BAL,1,0,0,0,,0,,0,,5.0,0,,0,0.0,0,39.6
