Quarter,Time,Tm,Detail,IND,DEN
1.0,1:45,Colts,Adam Vinatieri 42 yard field goal,3,0
2.0,11:16,Broncos,Jake Plummer 1 yard rush (Jason Elam kick),3,7
,5:10,Colts,Adam Vinatieri 30 yard field goal,6,7
,0:22,Broncos,Javon Walker 15 yard pass from Jake Plummer (Jason Elam kick),6,14
3.0,12:04,Colts,Reggie Wayne 12 yard pass from Peyton Manning (Adam Vinatieri kick),13,14
,8:54,Colts,Reggie Wayne 5 yard pass from Peyton Manning (Adam Vinatieri kick),20,14
,0:00,Broncos,Mike Bell 1 yard rush (Jason Elam kick),20,21
4.0,11:37,Colts,Adam Vinatieri 48 yard field goal,23,21
,6:54,Broncos,Mike Bell 1 yard rush (Jason Elam kick),23,28
,3:35,Colts,Reggie Wayne 19 yard pass from Peyton Manning (Reggie Wayne pass from Peyton Manning),31,28
,1:49,Broncos,Jason Elam 49 yard field goal,31,31
,0:02,Colts,Adam Vinatieri 37 yard field goal,34,31
