Quarter,Time,Tm,Detail,KAN,SDG
1.0,10:16,Chargers,Josh Lambo 35 yard field goal,0,3
,5:20,Chiefs,Cairo Santos 35 yard field goal,3,3
2.0,14:49,Chargers,Antonio Gates 2 yard pass from Philip Rivers (Josh Lambo kick),3,10
,12:53,Chiefs,Alex Smith 5 yard rush (Cairo Santos kick),10,10
,6:09,Chiefs,Charcandrick West 4 yard pass from Alex Smith (Cairo Santos kick),17,10
,0:00,Chiefs,Cairo Santos 25 yard field goal,20,10
3.0,10:23,Chargers,Jahleel Addae 90 yard interception return (Josh Lambo kick),20,17
,3:48,Chiefs,Charcandrick West 2 yard pass from Alex Smith (Cairo Santos kick),27,17
,0:59,Chiefs,Tyreek Hill 95 yard punt return (Cairo Santos kick),34,17
4.0,10:19,Chargers,Josh Lambo 29 yard field goal,34,20
,4:31,Chiefs,Cairo Santos 37 yard field goal,37,20
,2:08,Chargers,Hunter Henry 12 yard pass from Philip Rivers (Josh Lambo kick),37,27
