Quarter,Time,Tm,Detail,PHI,IND
1.0,10:06,Colts,Joseph Addai 15 yard rush (Adam Vinatieri kick),0,7
2.0,14:55,Colts,Joseph Addai 10 yard rush (Adam Vinatieri kick),0,14
,8:58,Colts,Joseph Addai 15 yard rush (Adam Vinatieri kick),0,21
,1:19,Eagles,L.J. Smith 1 yard pass from Jeff Garcia (David Akers kick),7,21
,0:00,Colts,Adam Vinatieri 44 yard field goal,7,24
3.0,6:39,Colts,Reggie Wayne 11 yard pass from Peyton Manning (Adam Vinatieri kick),7,31
,0:43,Eagles,Reggie Brown 3 yard pass from Jeff Garcia (David Akers kick),14,31
4.0,10:13,Eagles,Brian Westbrook 6 yard rush (David Akers kick),21,31
,3:38,Colts,Joseph Addai 4 yard rush (Adam Vinatieri kick),21,38
,3:25,Colts,Kelvin Hayden 26 yard defensive fumble return (Adam Vinatieri kick),21,45
