Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Chris Westry,BAL,0,10,5,50.0%,133,26.6,13.3,1,129.2,20.3,101,32,0,0,0,0.0,0,3,0,0.0%
Tavon Young,BAL,0,3,3,100.0%,48,16.0,16.0,0,118.7,14.7,44,4,0,0,0,0.0,0,2,0,0.0%
Marlon Humphrey,BAL,0,7,3,42.9%,10,3.3,1.4,0,50.3,9.1,6,4,0,0,0,0.0,0,5,0,0.0%
Chuck Clark,BAL,0,8,3,37.5%,40,13.3,5.0,0,54.2,9.4,23,17,2,0,0,0.0,0,1,2,66.7%
Brandon Stephens,BAL,0,3,2,66.7%,18,9.0,6.0,0,82.6,7.7,13,5,5,0,0,0.0,0,3,0,0.0%
Tyus Bowser,BAL,0,1,1,100.0%,60,60.0,60.0,1,158.3,-2.0,-2,62,6,0,0,2.0,2,5,0,0.0%
Geno Stone,BAL,0,1,1,100.0%,22,22.0,22.0,0,118.7,19.0,19,3,2,0,0,0.0,0,1,0,0.0%
Josh Bynes,BAL,0,2,1,50.0%,10,10.0,5.0,0,64.6,9.0,10,0,1,0,0,0.0,0,1,1,50.0%
Patrick Queen,BAL,0,2,1,50.0%,3,3.0,1.5,0,56.2,3.0,2,1,5,0,0,0.0,0,7,0,0.0%
Justin Houston,BAL,0,0,0,,,,,,,,,,1,0,1,1.0,2,3,0,0.0%
Odafe Oweh,BAL,0,0,0,,,,,,,,,,0,1,1,0.0,2,1,0,0.0%
Justin Ellis,BAL,0,0,0,,,,,,,,,,0,1,0,0.0,1,3,0,0.0%
Jaylon Ferguson,BAL,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
Broderick Washington Jr.,BAL,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
Chris Board,BAL,0,1,0,0.0%,,,0.0,,39.6,20.0,,,1,0,0,0.0,0,1,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Kindle Vildor,CHI,0,10,6,60.0%,78,13.0,7.8,0,84.6,9.4,51,27,2,0,0,1.0,1,6,0,0.0%
Roquan Smith,CHI,0,4,4,100.0%,13,3.3,3.3,0,80.2,0.8,3,10,10,1,0,0.0,1,17,0,0.0%
Jaylon Johnson,CHI,0,5,4,80.0%,28,7.0,5.6,0,90.0,2.4,7,21,0,0,0,0.0,0,2,1,33.3%
DeAndre Houston-Carson,CHI,0,7,4,57.1%,21,5.3,3.0,0,62.2,3.1,15,6,3,0,0,0.0,0,9,1,10.0%
Tashaun Gipson,CHI,1,6,4,66.7%,31,7.8,5.2,0,39.6,5.5,6,25,3,0,0,0.0,0,4,0,0.0%
Duke Shelley,CHI,0,2,2,100.0%,25,12.5,12.5,0,118.7,10.0,20,5,1,0,0,0.0,0,2,0,0.0%
Alec Ogletree,CHI,0,2,1,50.0%,-2,-2.0,-1.0,0,56.2,2.5,-3,1,5,0,1,0.0,1,7,0,0.0%
Christian Jones,CHI,0,1,1,100.0%,5,5.0,5.0,0,87.5,-2.0,-2,7,0,0,0,0.0,0,3,0,0.0%
Deon Bush,CHI,0,1,1,100.0%,29,29.0,29.0,0,118.7,27.0,27,2,0,0,0,0.0,0,2,1,33.3%
Robert Quinn,CHI,0,0,0,,,,,,,,,,0,1,0,3.5,5,5,0,0.0%
Trevis Gipson,CHI,0,0,0,,,,,,,,,,0,2,0,1.0,3,5,0,0.0%
Cassius Marsh,CHI,0,0,0,,,,,,,,,,8,0,1,0.0,1,1,0,0.0%
Eddie Goldman,CHI,0,0,0,,,,,,,,,,0,0,0,0.5,1,5,0,0.0%
Marqui Christian,CHI,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,0,0.0%
Mario Edwards,CHI,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%
