Quarter,Time,Tm,Detail,WAS,NOR
1,11:40,Redskins,Nick Rose 38 yard field goal,3,0
,5:30,Saints,Wil Lutz 52 yard field goal,3,3
,2:11,Redskins,Chris Thompson 16 yard pass from Kirk Cousins (Nick Rose kick),10,3
,0:35,Saints,Mark Ingram 36 yard rush (Wil Lutz kick),10,10
2,10:44,Redskins,Samaje Perine 1 yard rush (Nick Rose kick),17,10
,0:00,Saints,Wil Lutz 29 yard field goal,17,13
3,1:37,Redskins,Ryan Grant 40 yard pass from Kirk Cousins (Nick Rose kick),24,13
4,9:19,Saints,Wil Lutz 42 yard field goal,24,16
,5:58,Redskins,Jeremy Sprinkle 7 yard pass from Kirk Cousins (Nick Rose kick),31,16
,2:53,Saints,Josh Hill 3 yard pass from Drew Brees (Wil Lutz kick),31,23
,1:05,Saints,Alvin Kamara 18 yard pass from Drew Brees (Alvin Kamara run),31,31
OT,7:25,Saints,Wil Lutz 28 yard field goal,31,34
