Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
A.J. Epenesa,BUF,1,6,0,6,1,0.0,0,0,0,0,0,0,0,0,0
Ed Oliver,BUF,0,0,0,0,1,0.5,3,1,2,0,1,0,0,0,0
Gregory Rousseau,BUF,0,0,0,0,1,0.5,2,0,2,0,2,0,0,0,0
Taron Johnson,BUF,0,0,0,0,1,0.0,9,6,3,0,0,1,0,0,0
Terrel Bernard,BUF,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
Tyrel Dodson,BUF,0,0,0,0,0,0.0,8,6,2,1,0,0,0,0,0
Christian Benford,BUF,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,1
Micah Hyde,BUF,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Jordan Poyer,BUF,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Rasul Douglas,BUF,0,0,0,0,1,0.0,3,0,3,0,0,0,0,0,0
Taylor Rapp,BUF,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Tim Settle,BUF,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
Leonard Floyd,BUF,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Linval Joseph,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Shaq Lawson,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Cameron Lewis,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jordan Phillips,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Baylon Spector,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dorian Williams,BUF,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Von Miller,BUF,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Chamarri Conner,KAN,1,4,0,4,1,0.0,3,2,1,0,0,0,0,0,0
Trent McDuffie,KAN,0,0,0,0,1,1.0,6,3,3,1,1,0,0,0,0
George Karlaftis III,KAN,0,0,0,0,0,1.0,3,2,1,1,2,0,0,0,0
Charles Omenihu,KAN,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
Mike Edwards,KAN,0,0,0,0,0,0.0,11,10,1,0,0,0,0,0,0
Nick Bolton,KAN,0,0,0,0,1,0.0,8,5,3,1,0,0,0,0,0
L'Jarius Sneed,KAN,0,0,0,0,3,0.0,7,5,2,0,0,0,0,0,0
Justin Reid,KAN,0,0,0,0,1,0.0,6,3,3,0,0,0,0,0,0
Leo Chenal,KAN,0,0,0,0,0,0.0,4,2,2,0,1,0,0,0,0
Michael Danna,KAN,0,0,0,0,0,0.0,4,1,3,0,2,0,0,0,0
Willie Gay Jr.,KAN,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Jack Cochrane,KAN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Tershawn Wharton,KAN,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Derrick Nnadi,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Chris Jones,KAN,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0
