Quarter,Time,Tm,Detail,BAL,MIN
1.0,8:30,Ravens,Justin Tucker 48 yard field goal,3,0
,3:39,Vikings,Kai Forbath 52 yard field goal,3,3
2.0,12:55,Vikings,Kai Forbath 51 yard field goal,3,6
,9:56,Ravens,Justin Tucker 57 yard field goal,6,6
,0:35,Vikings,Kai Forbath 43 yard field goal,6,9
3.0,10:53,Vikings,Kai Forbath 43 yard field goal,6,12
,7:58,Vikings,Latavius Murray 29 yard rush (Kai Forbath kick failed),6,18
,2:58,Ravens,Justin Tucker 47 yard field goal,9,18
4.0,11:54,Vikings,Kai Forbath 34 yard field goal,9,21
,3:03,Vikings,Kai Forbath 32 yard field goal,9,24
,0:00,Ravens,Chris Moore 13 yard pass from Joe Flacco (Justin Tucker kick),16,24
