Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Ameer Abdullah,CAR,11,9,56,0,2,-20,-2.2,76,8.4,-0.6,1,9.0,0,0.0,0,87.9
Robbie Chosen,CAR,9,7,50,1,2,36,5.1,14,2.0,9.2,0,,0,0.0,1,87.3
D.J. Moore,CAR,10,7,87,0,3,41,5.9,46,6.6,10.3,0,,1,10.0,0,96.7
Tommy Tremble,CAR,5,2,7,0,,2,1.0,5,2.5,5.4,0,,0,0.0,0,47.9
C.J. Saunders,CAR,2,2,11,0,1,11,5.5,0,0.0,5.5,0,,0,0.0,0,89.6
Chuba Hubbard,CAR,2,2,8,1,2,-2,-1.0,10,5.0,-1.0,0,,0,0.0,0,122.9
Brandon Zylstra,CAR,2,0,0,0,,0,,0,,31.5,0,,0,0.0,0,39.6
Keith Kirkwood,CAR,1,0,0,0,,0,,0,,5.0,0,,1,100.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Rob Gronkowski,TAM,10,7,137,0,5,75,10.7,62,8.9,11.4,3,2.3,0,0.0,0,112.5
Mike Evans,TAM,7,6,89,2,5,51,8.5,38,6.3,8.0,0,,0,0.0,0,158.3
Tyler Johnson,TAM,7,5,22,0,1,14,2.8,8,1.6,3.9,0,,0,0.0,0,74.7
Breshad Perriman,TAM,6,5,44,0,2,21,4.2,23,4.6,7.2,1,5.0,0,0.0,0,97.2
Cameron Brate,TAM,3,2,12,0,,7,3.5,5,2.5,3.7,0,,1,33.3,0,74.3
Ke'Shawn Vaughn,TAM,2,2,12,0,1,1,0.5,11,5.5,0.5,0,,0,0.0,0,91.7
Scott Miller,TAM,1,1,9,0,0,10,10.0,-1,-1.0,10.0,0,,0,0.0,0,104.2
Le'Veon Bell,TAM,1,1,1,1,1,0,0.0,1,1.0,0.0,0,,0,0.0,0,118.7
Jaelon Darden,TAM,1,0,0,0,,0,,0,,22.0,0,,0,0.0,0,39.6
