Quarter,Time,Tm,Detail,SFO,ARI
1.0,14:48,49ers,Allen Rossum 104 yard kickoff return (Joe Nedney kick),7,0
,9:46,Cardinals,Neil Rackers 28 yard field goal,7,3
2.0,14:13,49ers,Josh Morgan 31 yard pass from Shaun Hill (Joe Nedney kick),14,3
,11:48,Cardinals,Anquan Boldin 13 yard pass from Kurt Warner (Neil Rackers kick),14,10
,4:41,Cardinals,Neil Rackers 33 yard field goal,14,13
,0:29,49ers,Vernon Davis 18 yard pass from Shaun Hill (Joe Nedney kick),21,13
3.0,11:37,Cardinals,Larry Fitzgerald 5 yard pass from Kurt Warner (Neil Rackers kick),21,20
,7:02,49ers,Joe Nedney 41 yard field goal,24,20
4.0,14:33,Cardinals,Neil Rackers 23 yard field goal,24,23
,4:16,Cardinals,Anquan Boldin 4 yard pass from Kurt Warner (pass failed),24,29
