Quarter,Time,Tm,Detail,HOU,CIN
1.0,9:43,Bengals,Trenton Irwin 32 yard pass from Joe Burrow (Evan McPherson kick),0,7
2.0,10:33,Texans,Tank Dell 6 yard pass from C.J. Stroud (Matt Ammendola kick),7,7
,0:10,Texans,Matt Ammendola 45 yard field goal,10,7
3.0,9:27,Texans,Matt Ammendola 22 yard field goal,13,7
,7:08,Texans,Devin Singletary 6 yard rush (Matt Ammendola kick),20,7
,3:00,Bengals,Evan McPherson 50 yard field goal,20,10
,0:10,Bengals,Ja'Marr Chase 64 yard pass from Joe Burrow (Evan McPherson kick),20,17
4.0,12:47,Texans,C.J. Stroud 8 yard rush (Matt Ammendola kick),27,17
,3:18,Bengals,Joe Mixon 1 yard rush (Evan McPherson kick),27,24
,1:33,Bengals,Evan McPherson 31 yard field goal,27,27
,0:00,Texans,Matt Ammendola 38 yard field goal,30,27
