Quarter,Time,Tm,Detail,PHI,TEN
1,11:22,Titans,Ryan Succop 42 yard field goal,0,3
2,4:04,Eagles,Jordan Matthews 56 yard pass from Carson Wentz (Jake Elliott kick),7,3
,0:00,Eagles,Jake Elliott 27 yard field goal,10,3
3,7:36,Eagles,Alshon Jeffery 16 yard pass from Carson Wentz (Jake Elliott kick),17,3
,2:51,Titans,Marcus Mariota 2 yard rush (Ryan Succop kick),17,10
4,9:18,Titans,Ryan Succop 33 yard field goal,17,13
,5:01,Titans,Tajae Sharpe 11 yard pass from Marcus Mariota (Ryan Succop kick),17,20
,0:16,Eagles,Jake Elliott 30 yard field goal,20,20
OT,6:19,Eagles,Jake Elliott 37 yard field goal,23,20
,0:11,Titans,Corey Davis 10 yard pass from Marcus Mariota,23,26
