Quarter,Time,Tm,Detail,SEA,TEN
2.0,13:23,Titans,Ryan Succop 24 yard field goal,0,3
,5:51,Titans,Ryan Succop 37 yard field goal,0,6
,1:15,Seahawks,Doug Baldwin 4 yard pass from Russell Wilson (Blair Walsh kick),7,6
,0:00,Titans,Ryan Succop 47 yard field goal,7,9
3.0,10:09,Seahawks,Chris Carson 10 yard pass from Russell Wilson (Blair Walsh kick),14,9
,7:34,Titans,Rishard Matthews 55 yard pass from Marcus Mariota (Ryan Succop kick),14,16
,3:50,Titans,Jonnu Smith 24 yard pass from Marcus Mariota (Ryan Succop kick),14,23
,1:34,Titans,DeMarco Murray 75 yard rush (Ryan Succop kick),14,30
4.0,13:59,Seahawks,Luke Willson 27 yard pass from Russell Wilson (pass failed),20,30
,10:00,Titans,Ryan Succop 35 yard field goal,20,33
,1:50,Seahawks,Paul Richardson 8 yard pass from Russell Wilson (Blair Walsh kick),27,33
