Quarter,Time,Tm,Detail,NWE,ATL
1.0,9:23,Falcons,Matt Bryant 23 yard field goal,0,3
2.0,12:43,Patriots,Matthew Mulligan 1 yard pass from Tom Brady (Stephen Gostkowski kick),7,3
,3:22,Patriots,Stephen Gostkowski 48 yard field goal,10,3
,0:38,Falcons,Tony Gonzalez 21 yard pass from Matt Ryan (Matt Bryant kick),10,10
3.0,5:24,Patriots,Stephen Gostkowski 22 yard field goal,13,10
4.0,14:26,Patriots,LeGarrette Blount 47 yard rush (Stephen Gostkowski kick),20,10
,11:52,Falcons,Matt Bryant 45 yard field goal,20,13
,9:43,Patriots,Kenbrell Thompkins 18 yard pass from Tom Brady (Stephen Gostkowski kick),27,13
,6:18,Patriots,Stephen Gostkowski 49 yard field goal,30,13
,4:22,Falcons,Tony Gonzalez 11 yard pass from Matt Ryan (Matt Bryant kick),30,20
,2:55,Falcons,Matt Bryant 25 yard field goal,30,23
