Quarter,Time,Tm,Detail,CLE,CAR
2.0,10:49,Browns,Kareem Hunt 1 yard pass from Jacoby Brissett (Cade York kick),7,0
,4:46,Browns,Kareem Hunt 24 yard rush (Cade York kick),14,0
,1:57,Panthers,Christian McCaffrey 1 yard rush (Eddy Pineiro kick),14,7
,0:21,Browns,Cade York 26 yard field goal,17,7
3.0,7:42,Browns,Cade York 34 yard field goal,20,7
4.0,12:51,Panthers,Baker Mayfield 7 yard rush (Eddy Pineiro kick),20,14
,6:13,Browns,Cade York 36 yard field goal,23,14
,6:02,Panthers,Robbie Chosen 75 yard pass from Baker Mayfield (Eddy Pineiro kick),23,21
,1:13,Panthers,Eddy Pineiro 34 yard field goal,23,24
,0:08,Browns,Cade York 58 yard field goal,26,24
