Quarter,Time,Tm,Detail,SFO,BAL
1.0,11:27,Ravens,Jamal Lewis 6 yard rush (Matt Stover kick),0,7
,9:03,49ers,Todd Peterson 48 yard field goal,3,7
2.0,3:20,49ers,Todd Peterson 40 yard field goal,6,7
,1:57,Ravens,Matt Stover 28 yard field goal,6,10
,0:46,Ravens,Marcus Robinson 38 yard pass from Anthony Wright (Matt Stover kick),6,17
,0:32,Ravens,Ray Lewis 29 yard interception return (Matt Stover kick),6,24
4.0,14:55,Ravens,Matt Stover 47 yard field goal,6,27
,13:45,Ravens,Terry Jones 6 yard pass from Anthony Wright (Matt Stover kick),6,34
,11:37,Ravens,Matt Stover 41 yard field goal,6,37
,1:15,Ravens,Musa Smith 2 yard rush (Matt Stover kick),6,44
