Quarter,Time,Tm,Detail,NOR,SFO
1.0,9:25,49ers,Phil Dawson 49 yard field goal,0,3
,5:11,Saints,Tim Hightower 4 yard rush (Wil Lutz kick),7,3
,2:14,Saints,Michael Thomas 1 yard pass from Drew Brees (Wil Lutz kick),14,3
2.0,7:40,Saints,Mark Ingram 5 yard pass from Drew Brees (Wil Lutz kick),21,3
,5:56,49ers,DuJuan Harris 47 yard pass from Colin Kaepernick (Phil Dawson kick),21,10
,5:45,Saints,Mark Ingram 75 yard rush (Wil Lutz kick),28,10
,3:53,49ers,Phil Dawson 48 yard field goal,28,13
,1:05,49ers,Vance McDonald 65 yard pass from Colin Kaepernick (Phil Dawson kick),28,20
,0:00,Saints,Wil Lutz 26 yard field goal,31,20
3.0,9:07,49ers,Phil Dawson 46 yard field goal,31,23
4.0,13:13,Saints,Michael Thomas 32 yard pass from Drew Brees (Wil Lutz kick),38,23
,8:52,Saints,Wil Lutz 41 yard field goal,41,23
