Quarter,Time,Tm,Detail,WAS,ATL
1.0,8:14,Falcons,Steven Jackson 3 yard rush (Matt Bryant kick),0,7
,3:52,Falcons,Tony Gonzalez 13 yard pass from Matt Ryan (Matt Bryant kick),0,14
,0:48,Redskins,Fred Davis 23 yard pass from Kirk Cousins (Kai Forbath kick),7,14
2.0,10:39,Falcons,Matt Bryant 20 yard field goal,7,17
,6:35,Redskins,Pierre Garcon 53 yard pass from Kirk Cousins (Kai Forbath kick),14,17
,0:49,Redskins,Kai Forbath 33 yard field goal,17,17
,0:00,Redskins,Kai Forbath 37 yard field goal,20,17
3.0,8:13,Falcons,Steven Jackson 2 yard rush (Matt Bryant kick),20,24
4.0,3:25,Falcons,Matt Bryant 51 yard field goal,20,27
,0:18,Redskins,Santana Moss 3 yard pass from Kirk Cousins (pass failed),26,27
