Quarter,Time,Tm,Detail,TEN,GNB
1.0,6:54,Packers,Aaron Rodgers 6 yard rush (Mason Crosby kick),0,7
,4:28,Packers,Randall Cobb 20 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2.0,14:36,Packers,Mason Crosby 26 yard field goal,0,17
,4:40,Packers,Mason Crosby 48 yard field goal,0,20
3.0,12:04,Packers,DuJuan Harris 7 yard rush (Mason Crosby kick),0,27
,5:47,Packers,Greg Jennings 1 yard pass from Aaron Rodgers (Mason Crosby kick),0,34
4.0,14:11,Packers,James Jones 12 yard pass from Aaron Rodgers (Mason Crosby kick),0,41
,12:31,Packers,Ryan Grant 7 yard rush (Mason Crosby kick),0,48
,6:25,Packers,Ryan Grant 9 yard rush (Mason Crosby kick),0,55
,1:39,Titans,Kenny Britt 2 yard pass from Jake Locker (Rob Bironas kick),7,55
