Quarter,Time,Tm,Detail,HOU,PHI
1.0,7:56,Eagles,LeSean McCoy 1 yard pass from Michael Vick (David Akers kick),0,7
,4:55,Texans,Neil Rackers 48 yard field goal,3,7
2.0,14:30,Eagles,LeSean McCoy 4 yard rush (David Akers kick),3,14
,9:35,Eagles,David Akers 36 yard field goal,3,17
,5:38,Texans,Jacoby Jones 8 yard pass from Matt Schaub (Neil Rackers kick),10,17
,0:21,Eagles,David Akers 22 yard field goal,10,20
3.0,8:49,Texans,Arian Foster 13 yard pass from Matt Schaub (Neil Rackers kick),17,20
,0:50,Texans,Arian Foster 3 yard rush (Neil Rackers kick),24,20
4.0,13:04,Eagles,Michael Vick 2 yard rush (David Akers kick),24,27
,4:18,Eagles,Owen Schmitt 5 yard pass from Michael Vick (David Akers kick),24,34
