Quarter,Time,Tm,Detail,NOR,BAL
1.0,8:46,Saints,John Carney 34 yard field goal,3,0
,7:04,Saints,Donte' Stallworth 28 yard pass from Aaron Brooks (John Carney kick),10,0
,2:22,Ravens,Jamal Lewis 1 yard rush (Matt Stover kick),10,7
2.0,12:45,Saints,John Carney 28 yard field goal,13,7
,0:30,Saints,Deuce McAllister 1 yard rush (John Carney kick),20,7
3.0,9:06,Saints,Deuce McAllister 3 yard rush (John Carney kick),27,7
,8:41,Ravens,Jamal Lewis 77 yard pass from Jeff Blake (Matt Stover kick),27,14
4.0,12:54,Ravens,Matt Stover 26 yard field goal,27,17
,6:26,Saints,John Carney 28 yard field goal,30,17
,2:57,Saints,Deuce McAllister 6 yard rush (John Carney kick),37,17
,1:40,Ravens,Terry Jones 6 yard pass from Jeff Blake (Chester Taylor run),37,25
