Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Landry Jones,PIT,16,29,209,1,2,2,17,41,60.8,1,-2,0,-2,0,0,0,0,,1,1
Le'Veon Bell,PIT,0,0,0,0,0,0,0,,,17,121,0,42,4,4,16,0,7,0,0
Martavis Bryant,PIT,0,0,0,0,0,0,0,,,1,13,0,13,8,3,45,1,19,0,0
DeAngelo Williams,PIT,0,0,0,0,0,0,0,,,4,9,0,6,2,1,8,0,8,0,0
Antonio Brown,PIT,0,0,0,0,0,0,0,,,1,6,0,6,8,6,124,0,41,0,0
Markus Wheaton,PIT,0,0,0,0,0,0,0,,,0,0,0,,4,2,16,0,11,0,0
Heath Miller,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Alex Smith,KAN,21,32,251,1,0,2,12,40,99.9,3,5,0,7,0,0,0,0,,0,0
Charcandrick West,KAN,0,0,0,0,0,0,0,,,22,110,1,36,5,2,19,0,12,0,0
De'Anthony Thomas,KAN,0,0,0,0,0,0,0,,,1,13,0,13,3,2,12,0,7,0,0
Spencer Ware,KAN,0,0,0,0,0,0,0,,,2,8,0,5,0,0,0,0,,0,0
Knile Davis,KAN,0,0,0,0,0,0,0,,,1,2,0,2,0,0,0,0,,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,,,0,0,0,,6,5,73,0,26,0,0
Albert Wilson,KAN,0,0,0,0,0,0,0,,,0,0,0,,6,3,71,0,40,0,0
Chris Conley,KAN,0,0,0,0,0,0,0,,,0,0,0,,7,6,63,1,25,0,0
Jason Avant,KAN,0,0,0,0,0,0,0,,,0,0,0,,2,2,11,0,6,0,0
James O'Shaughnessy,KAN,0,0,0,0,0,0,0,,,0,0,0,,2,1,2,0,2,0,0
