Quarter,Time,Tm,Detail,WAS,STL
1,6:41,Redskins,T.J. Duckett 5 yard rush (Shaun Suisham kick),7,0
2,12:55,Rams,Isaac Bruce 10 yard pass from Marc Bulger (Jeff Wilkins kick),7,7
,9:49,Rams,Dominique Byrd 27 yard pass from Marc Bulger (Jeff Wilkins kick),7,14
,6:14,Redskins,Ladell Betts 6 yard rush (Shaun Suisham kick),14,14
,0:21,Redskins,Chris Cooley 9 yard pass from Jason Campbell (Shaun Suisham kick),21,14
3,8:49,Redskins,Ladell Betts 7 yard rush (Shaun Suisham kick),28,14
,6:30,Rams,Steven Jackson 64 yard pass from Marc Bulger (Jeff Wilkins kick),28,21
,1:49,Rams,Stephen Davis 10 yard pass from Marc Bulger (Jeff Wilkins kick),28,28
4,7:57,Rams,Jeff Wilkins 21 yard field goal,28,31
,3:21,Redskins,Shaun Suisham 52 yard field goal,31,31
OT,8:27,Rams,Steven Jackson 21 yard rush,31,37
