Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Brandin Cooks,HOU,14,6,56,0,4,42,7.0,14,2.3,8.5,1,6.0,0,0.0,1,24.7
Danny Amendola,HOU,7,3,49,0,1,13,4.3,36,12.0,12.7,0,,0,0.0,1,27.4
Nico Collins,HOU,3,3,25,0,2,13,4.3,12,4.0,5.0,0,,0,0.0,0,101.4
David Johnson,HOU,5,3,29,0,1,7,2.3,22,7.3,4.8,0,,1,20.0,0,76.2
Antony Auclair,HOU,2,2,23,0,1,11,5.5,12,6.0,5.5,0,,0,0.0,0,114.6
Chris Conley,HOU,3,2,38,0,2,7,3.5,31,15.5,5.7,0,,1,33.3,0,109.7
Jordan Akins,HOU,3,2,7,0,,8,4.0,-1,-0.5,7.0,0,,0,0.0,0,70.1
Brevin Jordan,HOU,2,2,9,0,,4,2.0,5,2.5,2.0,0,,0,0.0,0,85.4
Chris Moore,HOU,1,1,4,0,,1,1.0,3,3.0,1.0,0,,0,0.0,0,83.3
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jaylen Waddle,MIA,10,8,83,0,5,64,8.0,19,2.4,10.3,0,,0,0.0,2,61.7
Myles Gaskin,MIA,6,6,23,0,2,-3,-0.5,26,4.3,-0.5,2,3.0,0,0.0,0,82.6
Mike Gesicki,MIA,8,4,54,0,3,51,12.8,3,0.8,12.3,0,,0,0.0,0,71.9
Mack Hollins,MIA,6,3,22,1,2,20,6.7,2,0.7,14.0,0,,1,16.7,0,98.6
Durham Smythe,MIA,2,2,27,0,1,18,9.0,9,4.5,9.0,0,,0,0.0,0,118.7
Kirk Merritt,MIA,3,1,13,0,1,7,7.0,6,6.0,18.7,0,,1,33.3,0,47.9
Adam Shaheen,MIA,2,1,11,0,1,3,3.0,8,8.0,4.0,0,,1,50.0,0,66.7
Albert Wilson,MIA,2,1,11,0,1,6,6.0,5,5.0,7.5,0,,1,50.0,0,66.7
Isaiah Ford,MIA,1,0,0,0,,0,,0,,0.0,0,,0,0.0,0,39.6
