Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Brian Robinson Jr.,WAS,17,60,1,4,33,1.9,27,1.6,2,8.5
Antonio Gibson,WAS,5,35,0,2,30,6.0,5,1.0,0,
J.D. McKissic,WAS,2,20,0,1,14,7.0,6,3.0,0,
Terry McLaurin,WAS,2,11,0,0,8,4.0,3,1.5,0,
Carson Wentz,WAS,2,2,0,0,2,1.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
David Montgomery,CHI,15,67,0,3,29,1.9,38,2.5,0,
Justin Fields,CHI,12,88,0,4,69,5.8,19,1.6,2,6.0
Khalil Herbert,CHI,7,74,0,1,5,0.7,69,9.9,1,7.0
Velus Jones Jr.,CHI,1,8,0,1,8,8.0,0,0.0,0,
Ihmir Smith-Marsette,CHI,1,-1,0,,-1,-1.0,0,0.0,0,
Equanimeous St. Brown,CHI,1,1,0,,1,1.0,0,0.0,0,
