Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Hunter Renfrow,LVR,9,8,134,0,3,79,9.9,55,6.9,11.0,0,,0,0.0,0,118.7
Zay Jones,LVR,7,5,59,0,3,2,0.4,57,11.4,13.6,1,5.0,0,0.0,0,96.7
DeSean Jackson,LVR,4,3,102,1,3,56,18.7,46,15.3,13.3,0,,0,0.0,0,156.2
Kenyan Drake,LVR,2,2,5,0,1,-4,-2.0,9,4.5,-2.0,1,2.0,0,0.0,0,79.2
Josh Jacobs,LVR,4,2,25,0,1,-8,-4.0,33,16.5,2.5,1,2.0,1,25.0,0,69.8
Darren Waller,LVR,5,2,33,0,2,19,9.5,14,7.0,15.2,1,2.0,0,0.0,0,62.9
Bryan Edwards,LVR,1,1,12,0,1,3,3.0,9,9.0,3.0,0,,0,0.0,0,116.7
Foster Moreau,LVR,5,1,3,0,,2,2.0,1,1.0,7.0,0,,1,20.0,0,39.6
Daniel Helm,LVR,1,0,0,0,,0,,0,,4.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Cedrick Wilson Jr.,DAL,10,7,104,0,4,61,8.7,43,6.1,9.6,0,,1,10.0,0,103.7
Noah Brown,DAL,9,6,53,0,2,35,5.8,18,3.0,5.2,0,,0,0.0,0,82.2
Ezekiel Elliott,DAL,8,6,24,0,1,-3,-0.5,27,4.5,0.0,0,,0,0.0,0,77.1
Michael Gallup,DAL,8,5,106,0,3,86,17.2,20,4.0,15.0,0,,0,0.0,0,106.2
Tony Pollard,DAL,4,4,32,0,1,0,0.0,32,8.0,0.0,0,,0,0.0,0,100.0
Dalton Schultz,DAL,7,3,46,1,1,35,11.7,11,3.7,12.1,0,,1,14.3,0,104.8
Sean McKeon,DAL,1,1,10,1,1,3,3.0,7,7.0,3.0,1,1.0,0,0.0,0,147.9
