Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Stefon Diggs,BUF,9,7,74,1,3,53,7.6,21,3.0,8.9,1,7.0,0,0.0,1,98.4
Cole Beasley,BUF,5,5,46,0,1,33,6.6,13,2.6,6.6,0,,0,0.0,0,105.0
Dawson Knox,BUF,3,3,32,2,2,10,3.3,22,7.3,3.3,0,,0,0.0,0,150.7
Emmanuel Sanders,BUF,3,3,28,0,2,19,6.3,9,3.0,6.3,0,,0,0.0,0,105.6
Matt Breida,BUF,2,2,29,1,1,2,1.0,27,13.5,1.0,0,,0,0.0,0,158.3
Gabriel Davis,BUF,3,2,47,0,2,29,14.5,18,9.0,10.3,1,2.0,0,0.0,1,70.1
Devin Singletary,BUF,1,1,4,0,0,1,1.0,3,3.0,1.0,0,,0,0.0,0,83.3
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Ty Montgomery,NOR,7,5,31,0,2,-15,-3.0,46,9.2,-2.7,0,,1,14.3,0,80.1
Tre'Quan Smith,NOR,5,4,31,0,1,25,6.3,6,1.5,9.4,0,,0,0.0,0,92.5
Lil'Jordan Humphrey,NOR,5,3,47,0,2,33,11.0,14,4.7,10.2,0,,0,0.0,0,91.2
Marquez Callaway,NOR,4,2,24,0,1,18,9.0,6,3.0,12.5,0,,0,0.0,0,68.7
Deonte Harty,NOR,5,1,9,0,,-2,-2.0,11,11.0,7.4,0,,0,0.0,1,0.0
Adam Prentice,NOR,1,1,10,0,,1,1.0,9,9.0,1.0,0,,0,0.0,0,108.3
Nick Vannett,NOR,1,1,11,1,1,11,11.0,0,0.0,11.0,0,,0,0.0,0,152.1
