Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Taylor Heinicke,WAS,23,33,290,3,0,1,0,33,127.1,5,43,0,20,0,0,0,0,0,0,0
Antonio Gibson,WAS,0,0,0,0,0,0,0,0,,14,63,1,8,2,2,12,0,11,0,0
J.D. McKissic,WAS,0,0,0,0,0,0,0,0,,7,15,0,10,5,5,44,1,30,0,0
Jaret Patterson,WAS,0,0,0,0,0,0,0,0,,2,1,0,3,1,1,11,0,11,0,0
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,123,2,33,0,0
DeAndre Carter,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,24,0,24,0,0
Adam Humphries,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,0,19,0,0
Dyami Brown,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,19,0,19,0,0
Curtis Samuel,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,19,0,10,0,0
Ricky Seals-Jones,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,19,0,16,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matt Ryan,ATL,25,42,283,4,0,1,8,42,111.5,1,17,0,17,0,0,0,0,0,0,0
Cordarrelle Patterson,ATL,0,0,0,0,0,0,0,0,,6,34,0,13,6,5,82,3,42,0,0
Wayne Gallman,ATL,0,0,0,0,0,0,0,0,,6,29,0,13,1,0,0,0,0,0,0
Mike Davis,ATL,0,0,0,0,0,0,0,0,,13,14,0,8,2,2,12,1,7,0,0
Feleipe Franks,ATL,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Keith Smith,ATL,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Calvin Ridley,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,80,0,21,0,0
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,50,0,15,0,0
Hayden Hurst,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,29,0,12,1,0
Tajae Sharpe,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,8,0,0
Olamide Zaccheaus,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,15,0,15,0,0
