Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Deebo Samuel,SFO,11,9,159,0,5,50,5.6,109,12.1,6.2,1,9.0,0,0.0,1,80.9
Brandon Aiyuk,SFO,5,4,40,1,3,9,2.3,31,7.8,2.4,0,,0,0.0,0,139.6
Kyle Juszczyk,SFO,5,3,45,0,2,3,1.0,42,14.0,8.4,1,3.0,0,0.0,0,89.6
Jeff Wilson,SFO,3,3,12,0,1,-11,-3.7,23,7.7,-3.7,0,,0,0.0,0,83.3
Jamycal Hasty,SFO,3,3,26,0,1,4,1.3,22,7.3,1.3,0,,0,0.0,0,102.8
Jauan Jennings,SFO,5,2,19,0,1,14,7.0,5,2.5,17.4,0,,1,20.0,0,51.2
George Kittle,SFO,3,2,21,0,1,16,8.0,5,2.5,8.0,0,,0,0.0,1,47.2
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
A.J. Brown,TEN,16,11,145,1,8,109,9.9,36,3.3,11.8,1,11.0,1,6.3,0,118.0
Geoff Swaim,TEN,3,3,10,0,,6,2.0,4,1.3,2.0,0,,0,0.0,0,80.6
Dontrell Hilliard,TEN,2,2,-6,0,,-13,-6.5,7,3.5,-6.5,0,,0,0.0,0,79.2
Nick Westbrook-Ikhine,TEN,3,2,38,0,2,30,15.0,8,4.0,12.7,0,,0,0.0,0,109.7
Julio Jones,TEN,1,1,7,0,,4,4.0,3,3.0,4.0,0,,0,0.0,0,95.8
Anthony Firkser,TEN,1,1,13,0,1,3,3.0,10,10.0,3.0,0,,0,0.0,0,118.7
Chester Rogers,TEN,1,1,3,0,,-3,-3.0,6,6.0,-3.0,0,,0,0.0,0,79.2
Khari Blasingame,TEN,1,1,-1,0,,-3,-3.0,2,2.0,-3.0,0,,0,0.0,0,79.2
Racey McMath,TEN,1,0,0,0,,0,,0,,27.0,0,,0,0.0,0,39.6
Jeremy McNichols,TEN,1,0,0,0,0,0,,0,,-3.0,0,,0,0.0,0,39.6
