Quarter,Time,Tm,Detail,CIN,TEN
2.0,12:50,Titans,Chris Brown 4 yard rush (Rob Bironas kick),0,7
,2:10,Titans,Rob Bironas 24 yard field goal,0,10
,0:33,Bengals,Chris Perry 1 yard pass from Carson Palmer (Shayne Graham kick),7,10
3.0,7:28,Bengals,Shayne Graham 21 yard field goal,10,10
,4:32,Titans,Chris Brown 9 yard rush (Rob Bironas kick),10,17
,1:01,Bengals,Odell Thurman 30 yard interception return (Shayne Graham kick),17,17
4.0,4:54,Titans,Rob Bironas 29 yard field goal,17,20
,4:19,Bengals,Chad Johnson 15 yard pass from Carson Palmer (Shayne Graham kick),24,20
,2:26,Bengals,Rudi Johnson 1 yard rush (Shayne Graham kick),31,20
,0:32,Titans,Rob Bironas 47 yard field goal,31,23
