Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jerry Jeudy,DEN,8,6,69,0,3,12,2.0,57,9.5,5.6,0,,0,0.0,0,100.5
Albert Okwuegbunam,DEN,5,4,25,0,1,-1,-0.3,26,6.5,0.8,0,,0,0.0,0,87.5
Tim Patrick,DEN,5,4,85,1,4,62,15.5,23,5.8,18.2,2,2.0,0,0.0,0,158.3
Melvin Gordon,DEN,2,2,15,0,0,10,5.0,5,2.5,5.0,0,,0,0.0,0,97.9
Kendall Hinton,DEN,1,1,40,0,1,14,14.0,26,26.0,14.0,0,,0,0.0,0,118.7
Eric Saubert,DEN,1,1,6,0,,1,1.0,5,5.0,1.0,0,,0,0.0,0,91.7
Courtland Sutton,DEN,2,1,9,0,,6,6.0,3,3.0,12.5,0,,0,0.0,0,62.5
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Malik Turner,DAL,7,5,33,2,3,33,6.6,0,0.0,8.1,0,,1,14.3,0,120.8
Dalton Schultz,DAL,5,4,54,0,3,33,8.3,21,5.3,7.8,0,,0,0.0,0,111.7
Ezekiel Elliott,DAL,3,3,25,0,2,0,0.0,25,8.3,0.0,1,3.0,0,0.0,0,101.4
Amari Cooper,DAL,5,2,37,0,1,11,5.5,26,13.0,14.8,0,,1,20.0,0,66.2
CeeDee Lamb,DAL,9,2,23,0,,23,11.5,0,0.0,23.6,0,,1,11.1,1,0.0
Cedrick Wilson Jr.,DAL,5,2,28,0,1,26,13.0,2,1.0,7.8,0,,0,0.0,0,58.7
Tony Pollard,DAL,2,1,32,0,1,0,0.0,32,32.0,2.5,1,1.0,1,50.0,0,95.8
Noah Brown,DAL,1,0,0,0,,0,,0,,15.0,0,,0,0.0,0,39.6
Sean McKeon,DAL,2,0,0,0,,0,,0,,5.0,0,,0,0.0,0,39.6
