Quarter,Time,Tm,Detail,PHI,WAS
1.0,8:16,Eagles,Brian Westbrook 4 yard pass from Donovan McNabb (David Akers kick),7,0
2.0,13:16,Redskins,James Thrash 4 yard pass from Jason Campbell (Shaun Suisham kick failed),7,6
,3:05,Redskins,James Thrash 12 yard pass from Jason Campbell (pass failed),7,12
3.0,9:18,Redskins,Shaun Suisham 23 yard field goal,7,15
,2:56,Eagles,L.J. Smith 8 yard pass from Donovan McNabb (pass failed),13,15
4.0,12:36,Redskins,Keenan McCardell 6 yard pass from Jason Campbell (Shaun Suisham kick),13,22
,10:35,Eagles,Reggie Brown 45 yard pass from Donovan McNabb (David Akers kick),20,22
,4:15,Redskins,Shaun Suisham 21 yard field goal,20,25
,3:16,Eagles,Brian Westbrook 57 yard pass from Donovan McNabb (pass failed),26,25
,2:18,Eagles,Brian Westbrook 10 yard rush (David Akers kick),33,25
