Quarter,Time,Tm,Detail,NWE,NYG
1.0,6:40,Patriots,Scott Chandler 1 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
,5:49,Giants,Odell Beckham Jr. 87 yard pass from Eli Manning (Josh Brown kick),7,7
2.0,12:54,Patriots,Stephen Gostkowski 31 yard field goal,10,7
,3:42,Giants,Josh Brown 37 yard field goal,10,10
,0:13,Giants,Dwayne Harris 1 yard pass from Eli Manning (Josh Brown kick),10,17
3.0,9:32,Giants,Josh Brown 38 yard field goal,10,20
,4:46,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),17,20
,0:49,Giants,Josh Brown 53 yard field goal,17,23
4.0,11:33,Patriots,Rob Gronkowski 76 yard pass from Tom Brady (Stephen Gostkowski kick),24,23
,1:47,Giants,Josh Brown 29 yard field goal,24,26
,0:01,Patriots,Stephen Gostkowski 54 yard field goal,27,26
