Quarter,Time,Tm,Detail,MIN,DAL
1.0,6:51,Cowboys,Dan Bailey 41 yard field goal,0,3
,2:08,Vikings,Blair Walsh 23 yard field goal,3,3
2.0,6:35,Cowboys,Dan Bailey 44 yard field goal,3,6
,1:41,Vikings,Christian Ponder 6 yard rush (Blair Walsh kick),10,6
3.0,11:38,Cowboys,Jason Witten 26 yard pass from Tony Romo (Dan Bailey kick),10,13
,11:28,Cowboys,Nick Hayden defensive fumble recovery in end zone (Dan Bailey kick),10,20
,8:11,Vikings,Kyle Rudolph 31 yard pass from Christian Ponder (Blair Walsh kick),17,20
4.0,5:40,Vikings,Adrian Peterson 11 yard rush (Blair Walsh kick failed),23,20
,0:35,Cowboys,Dwayne Harris 7 yard pass from Tony Romo (Dan Bailey kick),23,27
