Quarter,Time,Tm,Detail,TEN,DEN
1.0,5:13,Broncos,Brandon Stokley 48 yard pass from Jay Cutler (Jason Elam kick),0,7
,3:33,Broncos,Glenn Martinez 80 yard punt return (Jason Elam kick),0,14
2.0,13:15,Titans,Brandon Jones 21 yard pass from Vince Young (Rob Bironas kick),7,14
,10:25,Broncos,Jason Elam 21 yard field goal,7,17
,1:51,Broncos,Jason Elam 39 yard field goal,7,20
,0:09,Titans,Rob Bironas 56 yard field goal,10,20
3.0,11:02,Broncos,Brandon Marshall 41 yard pass from Jay Cutler (Jason Elam kick),10,27
,7:34,Titans,Vince Young 4 yard rush (Rob Bironas kick),17,27
4.0,14:18,Titans,Rob Bironas 37 yard field goal,20,27
,12:48,Broncos,Andre Hall 62 yard rush (Jason Elam kick),20,34
