Quarter,Time,Tm,Detail,WAS,PHI
1.0,11:18,Redskins,Nick Rose 27 yard field goal,3,0
2.0,13:15,Eagles,Jake Elliott 50 yard field goal,3,3
,9:14,Redskins,Chris Thompson 7 yard pass from Kirk Cousins (Nick Rose kick),10,3
,3:19,Eagles,Mack Hollins 64 yard pass from Carson Wentz (Jake Elliott kick),10,10
,0:22,Eagles,Zach Ertz 4 yard pass from Carson Wentz (Jake Elliott kick),10,17
3.0,9:43,Eagles,Corey Clement 9 yard pass from Carson Wentz (Jake Elliott kick),10,24
,0:44,Redskins,Jordan Reed 5 yard pass from Kirk Cousins (Nick Rose kick),17,24
4.0,11:10,Eagles,Nelson Agholor 10 yard pass from Carson Wentz (Jake Elliott kick),17,31
,6:19,Eagles,Jake Elliott 42 yard field goal,17,34
,3:17,Redskins,Jordan Reed 12 yard pass from Kirk Cousins (Nick Rose kick),24,34
