Quarter,Time,Tm,Detail,ATL,NOR
1.0,8:25,Saints,Coby Fleener 2 yard pass from Drew Brees (Wil Lutz kick),0,7
,5:21,Falcons,Tevin Coleman 2 yard rush (Matt Bryant kick),7,7
2.0,14:53,Falcons,Devonta Freeman 13 yard pass from Matt Ryan (Matt Bryant kick),14,7
,9:55,Saints,Michael Thomas 3 yard pass from Drew Brees (Wil Lutz kick),14,14
,5:31,Falcons,Tevin Coleman 2 yard rush (Matt Bryant kick),21,14
,0:28,Falcons,Justin Hardy 4 yard pass from Matt Ryan (Matt Bryant kick),28,14
,0:00,Saints,Wil Lutz 57 yard field goal,28,17
3.0,12:03,Falcons,Tevin Coleman 6 yard rush (Matt Bryant kick),35,17
,7:38,Saints,John Kuhn 3 yard rush (Mark Ingram run),35,25
,2:58,Falcons,Matt Bryant 21 yard field goal,38,25
4.0,13:37,Falcons,Deion Jones 90 yard interception return (Matt Bryant kick),45,25
,10:00,Saints,Mark Ingram 5 yard pass from Drew Brees (Wil Lutz kick),45,32
